,n,win,totalret,maxret,mdd
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_1_-2",19.0,4.0,-12.489999999999993,3.2800000000000007,-25.159999999999997
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_1_-3",19.0,4.0,-12.489999999999993,3.2800000000000007,-25.159999999999997
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_2_-0.5",19.0,3.0,-7.140000000000004,1.8400000000000016,-16.07
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_2_-1",19.0,3.0,-19.189999999999994,3.2800000000000007,-25.159999999999997
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_2_-2",19.0,3.0,-19.189999999999994,3.2800000000000007,-25.159999999999997
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_2_-3",19.0,3.0,-19.189999999999994,3.2800000000000007,-25.159999999999997
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_4_-0.5",19.0,0.0,-27.07,1.8400000000000016,-28.910000000000004
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_4_-1",19.0,0.0,-40.71999999999999,3.2800000000000007,-43.99999999999999
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_4_-2",19.0,0.0,-40.71999999999999,3.2800000000000007,-43.99999999999999
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_4_-3",19.0,0.0,-40.71999999999999,3.2800000000000007,-43.99999999999999
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_999_-0.5",19.0,0.0,-27.07,1.8400000000000016,-28.910000000000004
