date,cumret,drawdown
2010-03-08,0.0,0.0
2010-03-09,0.09999999999999964,0.0
2010-03-10,0.2799999999999998,0.0
2010-03-11,-0.020000000000000018,-0.2999999999999998
2010-03-12,0.7199999999999998,0.0
2010-06-14,0.7199999999999998,0.0
2010-06-15,1.2199999999999998,0.0
2010-06-16,2.28,0.0
2010-07-14,2.28,0.0
2010-07-15,2.1799999999999997,-0.10000000000000009
2010-07-16,1.63,-0.6499999999999999
2010-09-10,1.63,-0.6499999999999999
2010-09-13,2.2199999999999998,-0.06000000000000005
2010-11-03,2.2199999999999998,-0.06000000000000005
2010-11-04,2.9,0.0
2011-03-24,2.9,0.0
2011-03-25,3.6,0.0
2011-07-04,3.6,0.0
2011-07-05,3.9400000000000004,0.0
2011-10-17,3.9400000000000004,0.0
2011-10-18,-0.41000000000000014,-4.3500000000000005
2011-12-01,-0.41000000000000014,-4.3500000000000005
2011-12-02,0.8799999999999999,-3.0600000000000005
2012-01-19,0.8799999999999999,-3.0600000000000005
2012-01-20,2.0799999999999996,-1.8600000000000008
2012-06-18,2.0799999999999996,-1.8600000000000008
2012-06-19,2.4599999999999995,-1.4800000000000009
2012-06-20,3.0599999999999996,-0.8800000000000008
2012-07-31,3.0599999999999996,-0.8800000000000008
2012-08-01,3.2199999999999998,-0.7200000000000006
2012-08-02,2.5799999999999996,-1.3600000000000008
2012-08-03,2.48,-1.4600000000000004
2012-09-12,2.48,-1.4600000000000004
2012-09-13,3.0,-0.9400000000000004
2012-09-14,5.0600000000000005,0.0
2012-11-27,5.0600000000000005,0.0
2012-11-28,4.840000000000001,-0.21999999999999975
2012-11-29,5.5200000000000005,0.0
2013-02-20,5.5200000000000005,0.0
2013-02-21,5.2700000000000005,-0.25
2013-02-22,5.470000000000001,-0.04999999999999982
2013-02-25,5.24,-0.28000000000000025
2013-02-26,4.890000000000001,-0.6299999999999999
2013-05-16,4.890000000000001,-0.6299999999999999
2013-05-20,4.94,-0.5800000000000001
2013-05-21,4.92,-0.6000000000000005
2013-05-22,5.17,-0.35000000000000053
2013-07-11,5.17,-0.35000000000000053
2013-07-12,5.12,-0.40000000000000036
2013-07-15,5.48,-0.040000000000000036
2013-07-16,4.920000000000001,-0.5999999999999996
2013-07-17,5.390000000000001,-0.1299999999999999
2013-07-18,5.23,-0.29000000000000004
2013-07-19,5.2,-0.3200000000000003
2013-07-22,5.5200000000000005,0.0
2013-07-23,6.2,0.0
2013-08-30,6.2,0.0
2013-09-02,6.470000000000001,0.0
2013-09-03,6.73,0.0
2013-11-28,6.73,0.0
2013-11-29,6.890000000000001,0.0
2013-12-02,6.74,-0.15000000000000036
2013-12-03,6.09,-0.8000000000000007
2014-02-25,6.09,-0.8000000000000007
2014-02-26,6.29,-0.6000000000000005
2014-02-27,6.4,-0.4900000000000002
2014-03-27,6.4,-0.4900000000000002
2014-03-28,6.53,-0.3600000000000003
2014-03-31,6.7,-0.1900000000000004
2014-05-14,6.7,-0.1900000000000004
2014-05-15,6.720000000000001,-0.16999999999999993
2014-05-16,6.800000000000001,-0.08999999999999986
2014-05-19,6.760000000000001,-0.1299999999999999
2014-05-20,6.760000000000001,-0.1299999999999999
2014-05-21,7.000000000000001,0.0
2014-05-22,7.290000000000001,0.0
2014-07-25,7.290000000000001,0.0
2014-07-28,7.500000000000001,0.0
2014-10-31,7.500000000000001,0.0
2014-11-03,7.400000000000001,-0.09999999999999964
2014-11-04,6.820000000000001,-0.6799999999999997
2015-01-21,6.820000000000001,-0.6799999999999997
2015-01-22,7.000000000000001,-0.5
2015-01-23,7.400000000000001,-0.09999999999999964
2015-03-19,7.400000000000001,-0.09999999999999964
2015-03-20,7.420000000000002,-0.07999999999999918
2015-03-23,7.4300000000000015,-0.0699999999999994
2015-03-24,7.530000000000001,0.0
2015-03-25,7.550000000000001,0.0
2015-09-10,7.550000000000001,0.0
2015-09-11,7.890000000000001,0.0
2015-09-14,6.7700000000000005,-1.12
2015-09-15,7.130000000000001,-0.7599999999999998
2015-09-16,10.05,0.0
2015-11-24,10.05,0.0
2015-11-25,10.040000000000001,-0.009999999999999787
2015-11-26,10.41,0.0
2015-12-23,10.41,0.0
2015-12-24,10.07,-0.33999999999999986
2016-03-02,10.07,-0.33999999999999986
2016-03-03,10.31,-0.09999999999999964
2016-04-14,10.31,-0.09999999999999964
2016-04-15,10.450000000000001,0.0
2016-04-18,10.23,-0.22000000000000064
2016-04-19,10.52,0.0
2016-04-20,10.309999999999999,-0.21000000000000085
2016-04-21,10.819999999999999,0.0
2016-07-13,10.819999999999999,0.0
2016-07-14,11.079999999999998,0.0
2016-07-15,11.409999999999998,0.0
2017-04-25,11.409999999999998,0.0
2017-04-26,11.669999999999998,0.0
2017-09-14,11.669999999999998,0.0
2017-09-15,11.849999999999998,0.0
2017-09-18,12.259999999999998,0.0
2018-01-08,12.259999999999998,0.0
2018-01-09,12.129999999999997,-0.13000000000000078
2018-01-10,11.599999999999998,-0.6600000000000001
2018-03-12,11.599999999999998,-0.6600000000000001
2018-03-13,11.869999999999997,-0.39000000000000057
2018-03-14,11.869999999999997,-0.39000000000000057
2018-03-15,12.049999999999997,-0.21000000000000085
2018-03-16,11.979999999999997,-0.28000000000000114
2018-03-19,11.639999999999997,-0.620000000000001
2018-03-20,11.809999999999997,-0.45000000000000107
2018-03-21,11.859999999999998,-0.40000000000000036
2018-03-22,12.079999999999998,-0.17999999999999972
2018-04-30,12.079999999999998,-0.17999999999999972
2018-05-02,11.769999999999998,-0.4900000000000002
