date,cumret
2019-01-03,0.0
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-02-07,0.0
2019-02-08,0.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,0.0
2019-02-14,0.0
2019-03-08,0.0
2019-03-11,-0.1399999999999999
2019-03-12,0.69
2019-03-13,-0.5
2019-04-04,-0.5
2019-04-05,-0.5
2019-04-08,-0.5
2019-04-09,-0.5
2019-04-10,-0.5
2019-04-11,-0.5
2019-05-02,-0.5
2019-05-03,-0.5
2019-05-07,-0.5
2019-05-08,-0.5
2019-05-09,-0.5
2019-06-07,-0.5
2019-06-10,-0.5
2019-06-11,-0.5
2019-06-12,-0.5
2019-06-13,-0.5
2019-07-04,-0.5
2019-07-05,-0.5
2019-07-08,-0.5
2019-07-09,-0.5
2019-07-10,-0.5
2019-07-11,-0.5
2019-08-05,-0.5
2019-08-06,-1.96
2019-08-07,-2.74
2019-08-08,-4.37
2019-09-04,-4.37
2019-09-05,-4.37
2019-09-06,-4.37
2019-09-09,-4.37
2019-09-10,-4.37
2019-09-11,-4.37
2019-09-23,-4.37
2019-09-24,-4.37
2019-09-25,-4.37
2019-09-26,-4.37
2019-09-27,-4.37
2019-09-30,-4.37
2019-10-01,-4.37
2019-10-02,-4.37
2019-10-04,-4.37
2019-10-07,-4.37
2019-10-08,-4.37
2019-10-10,-4.37
2019-10-11,-4.37
2019-10-14,-4.37
2019-10-15,-4.37
2019-10-16,-4.37
2019-10-17,-4.37
2019-10-18,-4.37
2019-10-21,-4.37
2019-10-22,-4.37
2019-10-23,-4.37
2019-10-24,-4.37
2019-10-25,-4.37
2019-10-28,-4.37
2019-10-29,-4.37
2019-10-30,-4.37
2019-10-31,-4.37
2019-11-01,-4.37
2019-11-04,-4.37
2019-11-05,-4.37
2019-11-06,-4.37
2019-11-07,-4.37
2019-11-08,-4.37
2019-11-11,-4.37
2019-11-12,-4.37
2019-11-13,-4.37
2019-11-14,-4.37
2019-11-15,-4.37
2019-11-18,-4.37
2019-11-19,-4.37
2019-11-20,-4.37
2019-11-21,-4.37
2019-11-22,-4.37
2019-11-25,-4.37
2019-11-26,-4.37
2019-11-27,-4.37
2019-11-28,-4.37
2019-11-29,-4.37
2019-12-02,-4.37
2019-12-03,-4.37
2019-12-04,-4.37
2019-12-05,-4.37
2019-12-06,-4.37
2019-12-09,-4.37
2019-12-10,-4.37
2019-12-11,-4.37
2019-12-12,-4.37
2019-12-13,-4.37
2019-12-16,-4.37
2019-12-17,-4.37
2019-12-18,-4.37
2019-12-19,-4.37
2019-12-20,-4.37
2019-12-23,-4.37
2019-12-24,-4.37
2019-12-26,-4.37
2019-12-27,-4.37
2019-12-30,-4.37
2020-01-02,-4.37
2020-01-03,-4.37
2020-01-06,-4.37
2020-01-07,-4.37
2020-01-08,-4.37
2020-01-09,-4.37
2020-01-10,-4.37
2020-01-13,-4.37
2020-01-14,-4.37
2020-01-15,-4.37
2020-01-16,-4.37
2020-01-17,-4.37
2020-01-20,-4.37
2020-01-21,-4.37
2020-01-22,-4.37
2020-01-23,-4.37
2020-01-28,-4.37
2020-01-29,-4.68
2020-01-30,-5.49
2020-01-31,-5.49
2020-02-03,-5.49
2020-02-04,-5.49
2020-02-05,-5.49
2020-02-06,-5.49
2020-02-07,-5.49
2020-02-10,-5.49
2020-02-11,-5.49
2020-02-12,-5.49
2020-02-13,-5.49
2020-02-14,-5.49
2020-02-17,-5.49
2020-02-18,-5.49
2020-02-19,-5.49
2020-02-20,-5.49
2020-02-24,-5.49
2020-02-25,-4.300000000000001
2020-02-26,-7.130000000000001
2020-02-28,-7.130000000000001
2020-03-02,-7.140000000000001
2020-03-03,-7.58
2020-03-04,-4.67
2020-03-05,-1.8000000000000043
2020-03-09,-1.8000000000000043
2020-03-10,-1.6400000000000046
2020-03-11,-5.360000000000005
2020-03-12,-5.360000000000005
2020-03-13,-6.720000000000005
2020-03-16,-15.370000000000005
2020-03-17,-18.920000000000005
2020-03-18,-22.790000000000006
2020-03-19,-23.980000000000008
2020-03-20,-11.84035379216024
2020-03-23,-11.84035379216024
2020-03-24,-6.4803537921602405
2020-03-25,6.709646207839759
2020-04-01,6.709646207839759
2020-04-02,6.969646207839762
2020-04-03,6.969646207839762
2020-04-06,6.969646207839762
2020-04-07,6.969646207839762
2020-04-08,6.969646207839762
2020-04-09,6.969646207839762
2020-04-10,6.969646207839762
2020-04-13,6.969646207839762
2020-04-14,6.969646207839762
2020-04-16,6.969646207839762
2020-04-17,6.969646207839762
2020-04-20,6.969646207839762
2020-04-21,6.969646207839762
2020-04-22,6.969646207839762
2020-04-23,6.969646207839762
2020-04-24,6.969646207839762
2020-04-27,6.969646207839762
2020-04-28,6.969646207839762
2020-04-29,6.969646207839762
2020-05-04,6.969646207839762
2020-05-06,6.969646207839762
2020-05-07,6.969646207839762
2020-05-08,6.969646207839762
2020-05-11,6.969646207839762
2020-05-12,6.969646207839762
2020-05-13,6.969646207839762
2020-05-14,6.969646207839762
2020-05-15,6.969646207839762
2020-05-18,6.969646207839762
2020-05-19,6.969646207839762
2020-05-20,6.969646207839762
2020-05-21,6.969646207839762
2020-05-22,6.969646207839762
2020-05-25,6.969646207839762
2020-05-26,6.969646207839762
2020-05-27,6.969646207839762
2020-05-28,6.969646207839762
2020-05-29,6.969646207839762
2020-06-01,6.969646207839762
2020-06-02,6.969646207839762
2020-06-03,6.969646207839762
2020-06-04,6.969646207839762
2020-06-05,6.969646207839762
2020-06-08,6.969646207839762
2020-06-09,6.969646207839762
2020-06-10,6.969646207839762
2020-06-11,6.969646207839762
2020-06-15,6.969646207839762
2020-06-16,15.299646207839762
2020-06-18,15.299646207839762
2020-06-19,15.299646207839762
2020-06-22,15.299646207839762
2020-06-23,15.299646207839762
2020-06-24,15.299646207839762
2020-06-25,15.299646207839762
2020-06-26,15.299646207839762
2020-06-29,15.299646207839762
2020-06-30,15.299646207839762
2020-07-01,15.299646207839762
2020-07-02,15.299646207839762
2020-07-03,15.299646207839762
2020-07-06,15.299646207839762
2020-07-07,15.299646207839762
2020-07-08,15.299646207839762
2020-07-09,15.299646207839762
2020-07-10,15.299646207839762
2020-07-13,15.299646207839762
2020-07-14,15.299646207839762
2020-07-15,15.299646207839762
2020-07-16,15.299646207839762
2020-07-17,15.299646207839762
2020-07-20,15.299646207839762
2020-07-21,15.299646207839762
2020-07-22,15.299646207839762
2020-07-23,15.299646207839762
2020-07-24,15.299646207839762
2020-07-27,15.299646207839762
2020-07-28,15.299646207839762
2020-07-29,15.299646207839762
2020-07-30,15.299646207839762
2020-07-31,15.299646207839762
2020-08-03,15.299646207839762
2020-08-04,15.299646207839762
2020-08-05,15.299646207839762
2020-08-06,15.299646207839762
2020-08-07,15.299646207839762
2020-08-10,15.299646207839762
2020-08-11,15.299646207839762
2020-08-12,15.299646207839762
2020-08-13,15.299646207839762
2020-08-14,15.299646207839762
2020-08-18,15.299646207839762
2020-08-19,15.299646207839762
2020-08-20,15.299646207839762
2020-08-21,15.299646207839762
2020-08-24,15.299646207839762
2020-08-25,15.299646207839762
2020-08-26,15.299646207839762
2020-08-27,15.299646207839762
2020-08-28,15.299646207839762
2020-08-31,15.299646207839762
2020-09-01,15.299646207839762
2020-09-02,15.299646207839762
2020-09-03,15.299646207839762
2020-09-04,15.299646207839762
2020-09-07,15.299646207839762
2020-09-08,15.299646207839762
2020-09-09,15.299646207839762
2020-09-10,15.299646207839762
2020-09-11,15.299646207839762
2020-09-14,15.299646207839762
2020-09-15,15.299646207839762
2020-09-16,15.299646207839762
2020-09-17,15.299646207839762
2020-09-18,15.299646207839762
2020-09-21,15.299646207839762
2020-09-22,15.299646207839762
2020-09-23,15.299646207839762
2020-09-24,15.299646207839762
2020-09-25,15.299646207839762
2020-09-28,15.299646207839762
2020-09-29,15.299646207839762
2020-10-05,15.299646207839762
2020-10-06,15.299646207839762
2020-10-07,15.299646207839762
2020-10-08,15.299646207839762
2020-10-12,15.299646207839762
2020-10-13,15.299646207839762
2020-10-14,15.299646207839762
2020-10-15,15.299646207839762
2020-10-16,15.299646207839762
2020-10-19,15.299646207839762
2020-10-20,15.299646207839762
2020-10-21,15.299646207839762
2020-10-22,15.299646207839762
2020-10-23,15.299646207839762
2020-10-26,15.299646207839762
2020-10-27,15.299646207839762
2020-10-28,15.299646207839762
2020-10-29,15.299646207839762
2020-10-30,15.299646207839762
2020-11-02,15.299646207839762
2020-11-03,15.299646207839762
2020-11-04,15.299646207839762
2020-11-05,15.299646207839762
2020-11-06,15.299646207839762
2020-11-09,15.299646207839762
2020-11-10,15.299646207839762
2020-11-11,15.299646207839762
2020-11-12,15.299646207839762
2020-11-13,15.299646207839762
2020-11-16,15.299646207839762
2020-11-17,15.299646207839762
2020-11-18,15.299646207839762
2020-11-19,15.299646207839762
2020-11-20,15.299646207839762
2020-11-23,15.299646207839762
2020-11-24,15.299646207839762
2020-11-25,15.299646207839762
2020-11-26,15.299646207839762
2020-11-27,15.299646207839762
2020-11-30,15.299646207839762
2020-12-01,15.299646207839762
2020-12-02,15.299646207839762
2020-12-03,15.299646207839762
2020-12-04,15.299646207839762
2020-12-07,15.299646207839762
2020-12-08,15.299646207839762
2020-12-09,15.299646207839762
2020-12-10,15.299646207839762
2020-12-11,15.299646207839762
2020-12-14,15.299646207839762
2020-12-15,15.299646207839762
2020-12-16,15.299646207839762
2020-12-17,15.299646207839762
2020-12-18,15.299646207839762
2020-12-21,15.299646207839762
2020-12-22,15.299646207839762
2020-12-23,15.299646207839762
2020-12-24,15.299646207839762
2020-12-28,15.299646207839762
2020-12-29,15.299646207839762
2020-12-30,15.299646207839762
2021-01-04,15.299646207839762
2021-01-05,15.299646207839762
2021-01-06,15.299646207839762
2021-01-07,15.299646207839762
2021-01-08,15.299646207839762
2021-01-11,15.299646207839762
2021-01-12,15.299646207839762
2021-01-13,15.299646207839762
2021-01-14,15.299646207839762
2021-01-18,15.299646207839762
2021-01-19,20.309646207839762
2021-01-20,21.059646207839762
2021-01-21,27.029646207839743
2021-01-22,27.029646207839743
2021-01-25,27.029646207839743
2021-01-26,27.029646207839743
2021-01-27,27.029646207839743
2021-01-28,27.029646207839743
2021-01-29,24.10964620783974
2021-02-01,28.46964620783974
2021-02-02,31.59964620783974
2021-02-03,33.59964620783974
2021-02-04,27.60964620783974
2021-02-05,27.60964620783974
2021-02-08,27.60964620783974
2021-02-09,27.60964620783974
2021-02-10,27.60964620783974
2021-02-15,27.60964620783974
2021-02-16,27.60964620783974
2021-02-17,27.60964620783974
2021-02-18,27.60964620783974
2021-02-19,27.60964620783974
2021-02-22,27.60964620783974
2021-02-23,27.60964620783974
2021-02-24,27.60964620783974
2021-02-25,27.60964620783974
2021-02-26,27.60964620783974
2021-03-02,27.60964620783974
2021-03-03,27.60964620783974
2021-03-04,27.60964620783974
2021-03-05,27.60964620783974
2021-03-08,27.60964620783974
2021-03-09,27.60964620783974
2021-03-10,27.60964620783974
2021-03-11,27.60964620783974
2021-03-12,27.60964620783974
2021-03-15,27.60964620783974
2021-03-16,27.60964620783974
2021-03-17,27.60964620783974
2021-03-18,27.60964620783974
2021-03-19,27.60964620783974
2021-03-22,27.60964620783974
2021-03-23,27.60964620783974
2021-03-24,27.60964620783974
2021-03-25,27.60964620783974
2021-03-26,27.60964620783974
2021-03-29,27.60964620783974
2021-03-30,27.60964620783974
2021-03-31,27.60964620783974
2021-04-01,27.60964620783974
2021-04-02,27.60964620783974
2021-04-05,27.60964620783974
2021-04-06,27.60964620783974
2021-04-07,27.60964620783974
2021-04-08,27.60964620783974
2021-04-09,27.60964620783974
2021-04-12,27.60964620783974
2021-04-13,27.60964620783974
2021-04-14,27.60964620783974
2021-04-15,27.60964620783974
2021-04-16,27.60964620783974
2021-04-19,27.60964620783974
2021-04-20,27.60964620783974
2021-04-21,27.60964620783974
2021-04-22,27.60964620783974
2021-04-23,27.60964620783974
2021-04-26,27.60964620783974
2021-04-27,27.60964620783974
2021-04-28,27.60964620783974
2021-04-29,27.60964620783974
2021-04-30,27.60964620783974
2021-05-03,27.60964620783974
2021-05-04,27.60964620783974
2021-05-06,27.60964620783974
2021-05-07,27.60964620783974
2021-05-10,27.60964620783974
2021-05-11,27.60964620783974
2021-05-12,27.60964620783974
2021-05-13,27.60964620783974
2021-05-14,28.55964620783974
2021-05-17,26.979646207839743
2021-05-18,29.029646207839743
2021-05-20,26.93964620783975
2021-05-21,26.93964620783975
2021-05-24,26.93964620783975
2021-05-25,26.93964620783975
2021-05-26,26.93964620783975
2021-05-27,26.93964620783975
2021-05-28,26.93964620783975
2021-05-31,26.93964620783975
2021-06-01,26.93964620783975
2021-06-02,26.93964620783975
2021-06-03,26.93964620783975
2021-06-04,26.93964620783975
2021-06-07,26.93964620783975
2021-06-08,26.93964620783975
2021-06-09,26.93964620783975
2021-06-10,26.93964620783975
2021-06-11,26.93964620783975
2021-06-14,26.93964620783975
2021-06-15,26.93964620783975
2021-06-16,26.93964620783975
2021-06-17,26.93964620783975
2021-06-18,26.93964620783975
2021-06-21,26.93964620783975
2021-06-22,26.93964620783975
2021-06-23,26.93964620783975
2021-06-24,26.93964620783975
2021-06-25,26.93964620783975
2021-06-28,26.93964620783975
2021-06-29,26.93964620783975
2021-06-30,26.93964620783975
2021-07-01,26.93964620783975
2021-07-02,26.93964620783975
2021-07-05,26.93964620783975
2021-07-06,26.93964620783975
2021-07-07,26.93964620783975
2021-07-08,26.93964620783975
2021-07-09,26.93964620783975
2021-07-12,26.93964620783975
2021-07-13,26.93964620783975
2021-07-14,26.93964620783975
2021-07-15,26.93964620783975
2021-07-16,26.93964620783975
2021-07-19,26.93964620783975
2021-07-20,26.93964620783975
2021-07-21,26.93964620783975
2021-07-22,26.93964620783975
2021-07-23,26.93964620783975
2021-07-26,26.93964620783975
2021-07-27,26.93964620783975
2021-07-28,26.93964620783975
2021-07-29,26.93964620783975
2021-07-30,26.93964620783975
2021-08-02,26.93964620783975
2021-08-03,26.93964620783975
2021-08-04,26.93964620783975
2021-08-05,26.93964620783975
2021-08-06,26.93964620783975
2021-08-09,26.93964620783975
2021-08-10,26.93964620783975
2021-08-11,26.93964620783975
2021-08-12,26.93964620783975
2021-08-13,26.93964620783975
2021-08-17,25.20964620783975
2021-08-18,25.01964620783975
2021-08-19,23.54964620783975
2021-08-20,23.54964620783975
2021-08-23,23.54964620783975
2021-08-24,23.54964620783975
2021-08-25,23.54964620783975
2021-08-26,23.54964620783975
2021-08-27,23.54964620783975
2021-08-30,23.54964620783975
2021-08-31,23.54964620783975
2021-09-01,23.54964620783975
2021-09-02,23.54964620783975
2021-09-03,23.54964620783975
2021-09-06,23.54964620783975
2021-09-07,23.54964620783975
2021-09-08,23.54964620783975
2021-09-09,23.54964620783975
2021-09-10,23.54964620783975
2021-09-13,23.54964620783975
2021-09-14,23.54964620783975
2021-09-15,23.54964620783975
2021-09-16,23.54964620783975
2021-09-17,23.54964620783975
2021-09-23,23.54964620783975
2021-09-24,23.54964620783975
2021-09-27,23.54964620783975
2021-09-28,23.54964620783975
2021-09-29,23.54964620783975
2021-09-30,23.54964620783975
2021-10-06,23.54964620783975
2021-10-07,25.639646207839736
2021-10-08,25.639646207839736
2021-10-12,25.639646207839736
2021-10-13,25.639646207839736
2021-10-14,25.639646207839736
2021-10-15,25.639646207839736
2021-10-18,25.639646207839736
2021-10-19,25.639646207839736
2021-10-20,25.639646207839736
2021-10-21,25.639646207839736
2021-10-22,25.639646207839736
2021-10-25,25.639646207839736
2021-10-26,25.639646207839736
2021-10-27,25.639646207839736
2021-10-28,25.639646207839736
2021-10-29,25.639646207839736
2021-11-01,25.639646207839736
2021-11-02,25.639646207839736
2021-11-03,25.639646207839736
2021-11-04,25.639646207839736
2021-11-05,25.639646207839736
2021-11-08,25.639646207839736
2021-11-09,25.639646207839736
2021-11-10,25.639646207839736
2021-11-11,25.639646207839736
2021-11-12,25.639646207839736
2021-11-15,25.639646207839736
2021-11-16,25.639646207839736
2021-11-17,25.639646207839736
2021-11-18,25.639646207839736
2021-11-19,25.639646207839736
2021-11-22,25.639646207839736
2021-11-23,25.639646207839736
2021-11-24,25.639646207839736
2021-11-25,25.639646207839736
2021-11-29,25.639646207839736
2021-11-30,23.179646207839735
2021-12-01,28.489646207839733
2021-12-02,35.11964620783972
2021-12-03,35.11964620783972
2021-12-06,35.11964620783972
2021-12-07,35.11964620783972
2021-12-08,35.11964620783972
2021-12-09,35.11964620783972
2021-12-10,35.11964620783972
2021-12-13,35.11964620783972
2021-12-14,35.11964620783972
2021-12-15,35.11964620783972
2021-12-16,35.11964620783972
2021-12-17,35.11964620783972
2021-12-20,35.11964620783972
2021-12-21,35.11964620783972
2021-12-22,35.11964620783972
2021-12-23,35.11964620783972
2021-12-24,35.11964620783972
2021-12-27,35.11964620783972
2021-12-28,35.11964620783972
2021-12-29,35.11964620783972
2021-12-30,35.11964620783972
2022-01-03,35.11964620783972
2022-01-04,35.11964620783972
2022-01-05,35.11964620783972
2022-01-06,35.11964620783972
2022-01-07,35.11964620783972
2022-01-10,35.11964620783972
2022-01-11,35.11964620783972
2022-01-12,35.11964620783972
2022-01-13,35.11964620783972
2022-01-19,35.11964620783972
2022-01-20,34.74964620783971
2022-01-25,34.74964620783971
2022-01-26,33.56964620783971
2022-01-27,31.919646207839712
2022-01-28,36.23964620783971
2022-02-03,38.53964620783974
2022-02-04,38.53964620783974
2022-02-07,38.53964620783974
2022-02-08,38.53964620783974
2022-02-09,38.53964620783974
2022-02-10,38.53964620783974
2022-02-11,38.53964620783974
2022-02-14,38.53964620783974
2022-02-15,38.53964620783974
2022-02-16,38.53964620783974
2022-02-17,38.53964620783974
2022-02-18,38.53964620783974
2022-02-21,38.53964620783974
2022-02-22,38.53964620783974
2022-02-23,38.53964620783974
2022-02-24,38.53964620783974
2022-02-25,38.53964620783974
2022-02-28,38.53964620783974
2022-03-02,38.53964620783974
2022-03-03,38.53964620783974
2022-03-08,38.53964620783974
2022-03-10,42.67964620783973
2022-03-11,42.67964620783973
2022-03-14,42.67964620783973
2022-03-15,42.67964620783973
2022-03-16,42.67964620783973
2022-03-17,42.67964620783973
2022-03-18,42.67964620783973
2022-03-21,42.67964620783973
2022-03-22,42.67964620783973
2022-03-23,42.67964620783973
2022-03-24,42.67964620783973
2022-03-25,42.67964620783973
2022-03-28,42.67964620783973
2022-03-29,42.67964620783973
2022-03-30,42.67964620783973
2022-03-31,42.67964620783973
2022-04-01,42.67964620783973
2022-04-04,42.67964620783973
2022-04-05,42.67964620783973
2022-04-06,42.67964620783973
2022-04-07,42.67964620783973
2022-04-08,42.67964620783973
2022-04-11,42.67964620783973
2022-04-12,42.67964620783973
2022-04-13,42.67964620783973
2022-04-14,42.67964620783973
2022-04-15,42.67964620783973
2022-04-18,42.67964620783973
