,date,0
2010-09-09,2010-08-27,0.0
2010-10-14,2010-08-27,0.0
2010-09-09,2010-08-30,0.0
2010-10-14,2010-08-30,-1.6500000000000004
2010-09-09,2010-08-31,0.0
2010-09-09,2010-09-01,0.0
2010-11-11,2010-09-01,0.0
2010-09-09,2010-09-02,0.0
2010-11-11,2010-09-02,0.0
2010-09-09,2010-09-03,0.0
2010-11-11,2010-09-03,0.0
2010-09-09,2010-09-06,0.0
2010-11-11,2010-09-06,0.0
2010-09-09,2010-09-07,0.0
2010-11-11,2010-09-07,0.0
2010-09-09,2010-09-08,0.0
2010-11-11,2010-09-08,0.0
2010-09-09,2010-09-09,0.0
2010-11-11,2010-09-09,0.0
2010-11-11,2010-09-10,0.0
2010-11-11,2010-09-13,0.0
2010-11-11,2010-09-14,0.0
2010-11-11,2010-09-15,0.0
2010-11-11,2010-09-16,0.0
2010-11-11,2010-09-17,0.0
2010-11-11,2010-09-20,0.0
2010-11-11,2010-09-24,0.0
2010-11-11,2010-09-27,0.0
2010-11-11,2010-09-28,0.0
2010-11-11,2010-09-29,0.0
2010-11-11,2010-09-30,0.0
2010-11-11,2010-10-01,0.0
2010-11-11,2010-10-04,0.0
2010-11-11,2010-10-05,0.0
2010-11-11,2010-10-06,0.0
2010-11-11,2010-10-07,0.0
2010-11-11,2010-10-08,0.0
2010-11-11,2010-10-11,0.0
2010-11-11,2010-10-12,0.0
2010-12-09,2010-10-12,0.0
2010-11-11,2010-10-13,0.0
2010-12-09,2010-10-13,-0.25
2010-11-11,2010-10-14,0.0
2010-12-09,2010-10-14,-1.6499999999999995
2010-11-11,2010-10-15,0.0
2010-12-09,2010-10-15,-0.25
2010-11-11,2010-10-18,0.0
2010-12-09,2010-10-18,2.25
2010-11-11,2010-10-19,0.0
2010-12-09,2010-10-19,1.0
2010-11-11,2010-10-20,0.0
2010-12-09,2010-10-20,-0.5
2010-11-11,2010-10-21,0.0
2010-12-09,2010-10-21,-0.15000000000000036
2010-11-11,2010-10-22,0.0
2010-12-09,2010-10-22,-1.0499999999999998
2010-11-11,2010-10-25,0.0
2010-12-09,2010-10-25,-1.0999999999999996
2010-11-11,2010-10-26,0.0
2010-11-11,2010-10-27,0.0
2010-11-11,2010-10-28,0.0
2010-11-11,2010-10-29,0.0
2010-11-11,2010-11-01,0.0
2010-11-11,2010-11-02,0.0
2010-11-11,2010-11-03,0.0
2010-11-11,2010-11-04,0.0
2010-11-11,2010-11-05,0.0
2010-11-11,2010-11-08,0.0
2010-11-11,2010-11-09,0.0
2010-11-11,2010-11-10,0.0
2010-11-11,2010-11-11,0.0
2011-01-13,2010-11-12,0.0
2011-01-13,2010-11-15,0.2999999999999998
2011-01-13,2010-11-16,0.5
2011-01-13,2010-11-17,0.20000000000000018
2011-02-10,2010-12-27,0.0
2011-02-10,2010-12-28,-0.5499999999999998
2011-03-10,2011-01-11,0.0
2011-03-10,2011-01-12,0.04999999999999982
2011-03-10,2011-01-13,0.6000000000000005
2011-03-10,2011-01-21,0.0
2011-03-10,2011-01-24,-0.5
2011-03-10,2011-01-25,-0.2999999999999998
2011-03-10,2011-01-26,-1.5999999999999996
2011-04-14,2011-02-08,0.0
2011-04-14,2011-02-09,1.1
2011-05-12,2011-03-11,0.0
2011-05-12,2011-03-14,-1.6000000000000005
2011-05-12,2011-03-15,2.0500000000000007
2011-05-12,2011-03-16,-1.8000000000000007
2011-05-12,2011-03-17,-0.04999999999999982
2011-05-12,2011-03-18,-1.25
2011-06-09,2011-04-12,0.0
2011-06-09,2011-04-13,-2.2
2011-06-09,2011-04-14,-0.5
2011-07-14,2011-04-29,0.0
2011-07-14,2011-05-02,0.0
2011-07-14,2011-05-03,0.0
2011-07-14,2011-05-04,0.0
2011-07-14,2011-05-06,0.0
2011-07-14,2011-05-09,0.0
2011-07-14,2011-05-11,0.0
2011-07-14,2011-05-12,0.0
2011-07-14,2011-05-13,0.0
2011-07-14,2011-05-16,0.0
2011-07-14,2011-05-17,0.0
2011-07-14,2011-05-18,0.0
2011-07-14,2011-05-19,0.0
2011-07-14,2011-05-20,0.0
2011-07-14,2011-05-23,0.0
2011-07-14,2011-05-24,0.0
2011-07-14,2011-05-25,0.0
2011-07-14,2011-05-26,0.0
2011-07-14,2011-05-27,0.0
2011-07-14,2011-05-30,0.0
2011-07-14,2011-05-31,0.0
2011-07-14,2011-06-01,0.0
2011-07-14,2011-06-02,0.0
2011-07-14,2011-06-03,0.0
2011-07-14,2011-06-07,0.0
2011-07-14,2011-06-08,0.0
2011-08-11,2011-06-08,0.0
2011-07-14,2011-06-09,0.0
2011-08-11,2011-06-09,0.75
2011-07-14,2011-06-10,0.0
2011-08-11,2011-06-10,1.8499999999999996
2011-07-14,2011-06-13,0.0
2011-08-11,2011-06-13,-0.5499999999999998
2011-07-14,2011-06-14,0.0
2011-07-14,2011-06-15,0.0
2011-07-14,2011-06-16,0.0
2011-07-14,2011-06-17,0.0
2011-07-14,2011-06-20,0.0
2011-07-14,2011-06-21,0.0
2011-07-14,2011-06-22,0.0
2011-07-14,2011-06-23,0.0
2011-07-14,2011-06-24,0.0
2011-07-14,2011-06-27,0.0
2011-07-14,2011-06-28,0.0
2011-07-14,2011-06-29,0.0
2011-07-14,2011-06-30,0.0
2011-07-14,2011-07-01,0.0
2011-07-14,2011-07-04,0.0
2011-07-14,2011-07-05,0.0
2011-07-14,2011-07-06,0.0
2011-07-14,2011-07-07,0.0
2011-07-14,2011-07-08,0.0
2011-07-14,2011-07-11,0.0
2011-07-14,2011-07-12,0.0
2011-09-08,2011-07-12,0.0
2011-07-14,2011-07-13,0.0
2011-09-08,2011-07-13,-0.6000000000000005
2011-07-14,2011-07-14,0.0
2011-09-08,2011-07-14,-0.04999999999999982
2011-09-08,2011-07-15,-0.75
2011-10-13,2011-08-01,0.0
2011-10-13,2011-08-02,0.0
2011-10-13,2011-08-03,0.0
2011-10-13,2011-08-04,0.0
2011-10-13,2011-08-05,0.0
2011-10-13,2011-08-08,0.0
2011-10-13,2011-08-09,0.0
2011-10-13,2011-08-10,0.0
2011-10-13,2011-08-11,0.0
2011-10-13,2011-08-12,0.0
2011-10-13,2011-08-16,0.0
2011-10-13,2011-08-17,0.0
2011-10-13,2011-08-18,0.0
2011-10-13,2011-08-19,0.0
2011-10-13,2011-08-22,0.0
2011-10-13,2011-08-23,0.0
2011-10-13,2011-08-24,0.0
2011-10-13,2011-08-25,0.0
2011-10-13,2011-08-26,0.0
2011-10-13,2011-08-29,0.0
2011-10-13,2011-08-30,0.0
2011-10-13,2011-08-31,0.0
2011-10-13,2011-09-01,0.0
2011-10-13,2011-09-02,0.0
2011-10-13,2011-09-05,0.0
2011-10-13,2011-09-06,0.0
2011-11-10,2011-09-06,0.0
2011-10-13,2011-09-07,0.0
2011-11-10,2011-09-07,-3.75
2011-10-13,2011-09-08,0.0
2011-11-10,2011-09-08,-0.34999999999999964
2011-10-13,2011-09-09,0.0
2011-11-10,2011-09-09,1.25
2011-10-13,2011-09-14,0.0
2011-11-10,2011-09-14,3.55
2011-10-13,2011-09-15,0.0
2011-11-10,2011-09-15,-1.2000000000000002
2011-10-13,2011-09-16,0.0
2011-11-10,2011-09-16,-3.8499999999999996
2011-10-13,2011-09-19,0.0
2011-11-10,2011-09-19,0.6500000000000004
2011-10-13,2011-09-20,0.0
2011-11-10,2011-09-20,-1.0
2011-10-13,2011-09-21,0.0
2011-11-10,2011-09-21,-0.9000000000000004
2011-10-13,2011-09-22,0.0
2011-11-10,2011-09-22,3.6999999999999993
2011-10-13,2011-09-23,0.0
2011-11-10,2011-09-23,4.8500000000000005
2011-10-13,2011-09-26,0.0
2011-11-10,2011-09-26,1.5
2011-10-13,2011-09-27,0.0
2011-10-13,2011-09-28,0.0
2011-10-13,2011-09-29,0.0
2011-10-13,2011-09-30,0.0
2011-12-08,2011-09-30,0.0
2011-10-13,2011-10-04,0.0
2011-12-08,2011-10-04,0.0
2011-10-13,2011-10-05,0.0
2011-12-08,2011-10-05,0.0
2011-10-13,2011-10-06,0.0
2011-12-08,2011-10-06,0.0
2011-10-13,2011-10-07,0.0
2011-12-08,2011-10-07,0.0
2011-10-13,2011-10-10,0.0
2011-12-08,2011-10-10,0.0
2011-10-13,2011-10-11,0.0
2011-12-08,2011-10-11,0.0
2011-10-13,2011-10-12,0.0
2011-12-08,2011-10-12,0.0
2011-10-13,2011-10-13,0.0
2011-12-08,2011-10-13,0.0
2011-12-08,2011-10-14,0.0
2011-12-08,2011-10-17,0.0
2011-12-08,2011-10-18,0.0
2011-12-08,2011-10-19,0.0
2011-12-08,2011-10-20,0.0
2011-12-08,2011-10-21,0.0
2011-12-08,2011-10-24,0.0
2011-12-08,2011-10-25,0.0
2011-12-08,2011-10-26,0.0
2011-12-08,2011-10-27,0.0
2011-12-08,2011-10-28,0.0
2011-12-08,2011-10-31,0.0
2011-12-08,2011-11-01,0.0
2012-01-12,2011-11-01,0.0
2011-12-08,2011-11-02,0.0
2012-01-12,2011-11-02,0.0
2011-12-08,2011-11-03,0.0
2012-01-12,2011-11-03,0.0
2011-12-08,2011-11-04,0.0
2012-01-12,2011-11-04,0.0
2011-12-08,2011-11-07,0.0
2012-01-12,2011-11-07,0.0
2011-12-08,2011-11-08,0.0
2012-01-12,2011-11-08,0.0
2011-12-08,2011-11-09,0.0
2012-01-12,2011-11-09,0.0
2011-12-08,2011-11-10,0.0
2012-01-12,2011-11-10,0.0
2011-12-08,2011-11-11,0.0
2012-01-12,2011-11-11,0.0
2011-12-08,2011-11-14,0.0
2012-01-12,2011-11-14,0.0
2011-12-08,2011-11-15,0.0
2012-01-12,2011-11-15,0.0
2011-12-08,2011-11-16,0.0
2012-01-12,2011-11-16,0.0
2011-12-08,2011-11-17,0.0
2012-01-12,2011-11-17,0.0
2011-12-08,2011-11-18,0.0
2012-01-12,2011-11-18,0.0
2011-12-08,2011-11-21,0.0
2012-01-12,2011-11-21,0.0
2011-12-08,2011-11-22,0.0
2012-01-12,2011-11-22,0.0
2011-12-08,2011-11-23,0.0
2012-01-12,2011-11-23,0.0
2011-12-08,2011-11-24,0.0
2012-01-12,2011-11-24,0.0
2011-12-08,2011-11-25,0.0
2012-01-12,2011-11-25,0.0
2011-12-08,2011-11-28,0.0
2012-01-12,2011-11-28,0.0
2011-12-08,2011-11-29,0.0
2012-01-12,2011-11-29,0.0
2011-12-08,2011-11-30,0.0
2012-01-12,2011-11-30,0.0
2011-12-08,2011-12-01,0.0
