,,"weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2"
,,cp,exp,strike,code,name,close,open,high,low,iv,trd_volume,trd_value,open_interest,exp_date,dte,open_k200,high_k200,low_k200,close_k200,close_iv,rate,atm,moneyness,adj_price,delta,gamma,theta,vega,term,value,cp,exp,strike,code,name,close,open,high,low,iv,trd_volume,trd_value,open_interest,exp_date,dte,open_k200,high_k200,low_k200,close_k200,close_iv,rate,atm,moneyness,adj_price,delta,gamma,theta,vega,term,value
date,entry_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.2,0.48,0.61,0.17,11.4,1665,121415000,554,2019-10-02,6,275.61,276.38,273.5,274.89,15.06,1.5,275.0,5.0,0.27,0.127,0.048,-0.065,0.079,1,0.27,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.2,0.48,0.61,0.17,11.4,1665,121415000,554,2019-10-02,6,275.61,276.38,273.5,274.89,15.06,1.5,275.0,5.0,0.27,-0.254,-0.096,0.13,-0.158,1,-0.54
2019-09-27,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.13,0.13,0.01,10.3,5702,70790000,2529,2019-10-02,5,273.32,273.4,270.52,271.33,14.85,1.5,272.5,7.5,0.01,0.009,0.007,-0.007,0.009,1,0.01,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.13,0.13,0.01,10.3,5702,70790000,2529,2019-10-02,5,273.32,273.4,270.52,271.33,14.85,1.5,272.5,7.5,0.01,-0.018,-0.014,0.014,-0.018,1,-0.02
2019-09-30,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.02,0.01,0.03,0.01,12.3,6003,19590000,5187,2019-10-02,2,270.61,273.85,270.06,273.55,15.15,1.5,272.5,7.5,0.02,0.019,0.015,-0.024,0.012,1,0.02,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.02,0.01,0.03,0.01,12.3,6003,19590000,5187,2019-10-02,2,270.61,273.85,270.06,273.55,15.15,1.5,272.5,7.5,0.02,-0.038,-0.03,0.048,-0.024,1,-0.04
2019-10-01,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.04,0.01,12.1,5561,23885000,5717,2019-10-02,1,273.43,275.38,272.81,274.42,14.89,1.5,275.0,5.0,0.01,0.013,0.013,-0.02,0.007,1,0.01,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.04,0.01,12.1,5561,23885000,5717,2019-10-02,1,273.43,275.38,272.81,274.42,14.89,1.5,275.0,5.0,0.01,-0.026,-0.026,0.04,-0.014,1,-0.02
2019-10-02,2019-09-26,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.01,0.01,31.2,163,407500,0,2019-10-02,0,272.39,272.42,268.55,268.55,15.86,1.5,267.5,12.5,0.0,0.0,0.0,0.0,0.0,1,0.0,C,1910W1,280.0,KR4209022802,코스피위클리 C 1910W1 280.0,0.01,0.01,0.01,0.01,31.2,163,407500,0,2019-10-02,0,272.39,272.42,268.55,268.55,15.86,1.5,267.5,12.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2019-10-10,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,0.61,0.36,0.74,0.32,16.2,1151,165067500,557,2019-10-17,7,268.79,270.78,266.23,268.8,15.63,1.5,270.0,5.0,0.61,0.177,0.04,-0.105,0.103,1,0.61,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.25,0.14,0.33,0.14,15.6,1254,76625000,567,2019-10-17,7,268.79,270.78,266.23,268.8,15.63,1.5,270.0,7.5,0.25,-0.176,-0.052,0.124,-0.128,1,-0.5
2019-10-11,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,0.92,1.01,1.21,0.73,15.1,4057,988370000,673,2019-10-17,6,271.68,272.68,270.58,271.3,14.84,1.5,272.5,2.5,0.91,0.266,0.058,-0.133,0.123,1,0.91,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.4,0.46,0.53,0.31,14.8,9591,993892500,1689,2019-10-17,6,271.68,272.68,270.58,271.3,14.84,1.5,272.5,5.0,0.39,-0.28,-0.08,0.178,-0.168,1,-0.78
2019-10-14,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,1.29,1.88,2.05,1.19,14.1,2569,1001582500,822,2019-10-17,3,274.71,275.75,273.97,274.23,14.3,1.5,275.0,0.0,1.28,0.432,0.097,-0.199,0.113,1,1.28,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.48,0.88,0.92,0.46,13.9,9418,1561722500,2365,2019-10-17,3,274.71,275.75,273.97,274.23,14.3,1.5,275.0,2.5,0.48,-0.426,-0.146,0.29,-0.166,1,-0.96
2019-10-15,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,1.14,1.05,1.44,0.85,14.4,4454,1223470000,969,2019-10-17,2,273.85,275.09,273.83,274.34,13.8,1.5,275.0,0.0,1.14,0.433,0.11,-0.235,0.098,1,1.14,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.35,0.33,0.52,0.21,13.9,15865,1372582500,3381,2019-10-17,2,273.85,275.09,273.83,274.34,13.8,1.5,275.0,2.5,0.35,-0.372,-0.154,0.308,-0.134,1,-0.7
2019-10-16,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,1.83,1.78,2.8,1.27,12.5,2729,1283357500,1112,2019-10-17,1,276.26,277.59,275.24,276.32,13.27,1.25,277.5,-2.5,1.82,0.702,0.136,-0.222,0.071,1,1.82,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.42,0.58,1.11,0.3,10.7,30249,4142587500,2999,2019-10-17,1,276.26,277.59,275.24,276.32,13.27,1.25,277.5,0.0,0.41,-0.6,-0.318,0.38,-0.142,1,-0.82
2019-10-17,2019-10-10,C,1910W3,275.0,KR4209032751,코스피위클리 C 1910W3 275.0,0.11,1.93,1.93,0.11,3.0,24900,4153227500,0,2019-10-17,0,275.92,276.68,274.62,275.57,13.34,1.25,275.0,0.0,0.5699999999999932,1.0,0.0,0.0,0.0,1,0.5699999999999932,C,1910W3,277.5,KR4209032777,코스피위클리 C 1910W3 277.5,0.01,0.43,0.43,0.01,8.6,66937,1647795000,0,2019-10-17,0,275.92,276.68,274.62,275.57,13.34,1.25,275.0,2.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2019-10-17,2019-10-17,C,1910W4,280.0,KR4209042800,코스피위클리 C 1910W4 280.0,0.36,0.62,0.71,0.32,10.6,1627,192490000,706,2019-10-24,7,275.92,276.68,274.62,275.57,13.34,1.25,275.0,5.0,0.36,0.161,0.056,-0.066,0.1,1,0.36,C,1910W4,282.5,KR4209042826,코스피위클리 C 1910W4 282.5,0.11,0.22,0.3,0.09,10.7,1509,47212500,1007,2019-10-24,7,275.92,276.68,274.62,275.57,13.34,1.25,275.0,7.5,0.12,-0.122,-0.056,0.066,-0.1,1,-0.24
2019-10-18,2019-10-17,C,1910W4,280.0,KR4209042800,코스피위클리 C 1910W4 280.0,0.12,0.43,0.62,0.1,12.1,18990,1702800000,5763,2019-10-24,6,275.99,277.06,272.28,272.81,13.85,1.25,272.5,7.5,0.12,0.063,0.027,-0.04,0.047,1,0.12,C,1910W4,282.5,KR4209042826,코스피위클리 C 1910W4 282.5,0.03,0.13,0.2,0.02,12.1,7456,201087500,2842,2019-10-24,6,275.99,277.06,272.28,272.81,13.85,1.25,272.5,10.0,0.03,-0.04,-0.02,0.032,-0.036,1,-0.06
2019-10-21,2019-10-17,C,1910W4,280.0,KR4209042800,코스피위클리 C 1910W4 280.0,0.09,0.09,0.13,0.06,13.4,8821,199970000,6572,2019-10-24,3,273.87,274.1,272.67,273.79,13.84,1.25,275.0,5.0,0.09,0.057,0.03,-0.055,0.033,1,0.09,C,1910W4,282.5,KR4209042826,코스피위클리 C 1910W4 282.5,0.02,0.02,0.04,0.01,13.8,3662,19587500,2898,2019-10-24,3,273.87,274.1,272.67,273.79,13.84,1.25,275.0,7.5,0.02,-0.032,-0.02,0.04,-0.022,1,-0.04
2019-10-22,2019-10-17,C,1910W4,280.0,KR4209042800,코스피위클리 C 1910W4 280.0,0.35,0.18,0.53,0.12,12.1,37391,3073092500,5377,2019-10-24,2,275.4,278.19,274.93,277.41,13.09,1.25,277.5,2.5,0.34,0.203,0.093,-0.143,0.071,1,0.34,C,1910W4,282.5,KR4209042826,코스피위클리 C 1910W4 282.5,0.07,0.03,0.11,0.02,12.4,23527,378805000,5255,2019-10-24,2,275.4,278.19,274.93,277.41,13.09,1.25,277.5,5.0,0.07,-0.11,-0.07,0.114,-0.056,1,-0.14
2019-10-23,2019-10-17,C,1910W4,280.0,KR4209042800,코스피위클리 C 1910W4 280.0,0.04,0.2,0.24,0.03,10.7,38662,820417500,8110,2019-10-24,1,276.83,277.29,275.34,276.23,13.22,1.25,275.0,5.0,0.04,0.045,0.043,-0.052,0.019,1,0.04,C,1910W4,282.5,KR4209042826,코스피위클리 C 1910W4 282.5,0.01,0.03,0.03,0.01,13.2,14749,51692500,8282,2019-10-24,1,276.83,277.29,275.34,276.23,13.22,1.25,275.0,7.5,0.01,-0.022,-0.022,0.04,-0.012,1,-0.02
2019-10-24,2019-10-17,C,1910W4,280.0,KR4209042800,코스피위클리 C 1910W4 280.0,0.01,0.03,0.07,0.01,9.8,34096,181055000,0,2019-10-24,0,277.7,277.84,274.31,276.7,13.2,1.25,277.5,2.5,0.0,0.0,0.0,0.0,0.0,1,0.0,C,1910W4,282.5,KR4209042826,코스피위클리 C 1910W4 282.5,0.01,0.01,0.01,0.01,21.3,402,1005000,0,2019-10-24,0,277.7,277.84,274.31,276.7,13.2,1.25,277.5,5.0,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2019-10-24,2019-10-24,C,1910W5,282.5,KR4209052825,코스피위클리 C 1910W5 282.5,0.39,0.36,0.39,0.15,12.9,2872,203187500,1244,2019-10-31,7,277.7,277.84,274.31,276.7,13.2,1.25,277.5,5.0,0.39,0.144,0.043,-0.075,0.093,1,0.39,C,1910W5,285.0,KR4209052858,코스피위클리 C 1910W5 285.0,0.16,0.13,0.16,0.06,13.2,2851,68550000,1449,2019-10-31,7,277.7,277.84,274.31,276.7,13.2,1.25,277.5,7.5,0.16,-0.136,-0.048,0.09,-0.108,1,-0.32
2019-10-25,2019-10-24,C,1910W5,282.5,KR4209052825,코스피위클리 C 1910W5 282.5,0.24,0.37,0.4,0.17,11.4,14580,904675000,2438,2019-10-31,6,277.6,277.67,275.7,277.07,13.42,1.25,277.5,5.0,0.24,0.114,0.044,-0.06,0.074,1,0.24,C,1910W5,285.0,KR4209052858,코스피위클리 C 1910W5 285.0,0.08,0.14,0.15,0.05,11.8,8127,170460000,3779,2019-10-31,6,277.6,277.67,275.7,277.07,13.42,1.25,277.5,7.5,0.08,-0.088,-0.042,0.06,-0.072,1,-0.16
2019-10-28,2019-10-24,C,1910W5,282.5,KR4209052825,코스피위클리 C 1910W5 282.5,0.26,0.4,0.58,0.24,13.9,17873,1593167500,3031,2019-10-31,3,278.16,279.42,277.29,277.78,13.64,1.25,277.5,5.0,0.25,0.127,0.051,-0.105,0.06,1,0.25,C,1910W5,285.0,KR4209052858,코스피위클리 C 1910W5 285.0,0.07,0.14,0.2,0.06,14.1,11546,326147500,4338,2019-10-31,3,278.16,279.42,277.29,277.78,13.64,1.25,277.5,7.5,0.07,-0.086,-0.044,0.092,-0.052,1,-0.14
2019-10-29,2019-10-24,C,1910W5,282.5,KR4209052825,코스피위클리 C 1910W5 282.5,0.09,0.43,0.43,0.07,12.8,26284,1150295000,4981,2019-10-31,2,279.25,279.49,276.81,277.55,13.48,1.25,277.5,5.0,0.09,0.066,0.04,-0.069,0.032,1,0.09,C,1910W5,285.0,KR4209052858,코스피위클리 C 1910W5 285.0,0.01,0.12,0.13,0.01,12.4,14103,153792500,6516,2019-10-31,2,279.25,279.49,276.81,277.55,13.48,1.25,277.5,7.5,0.01,-0.02,-0.016,0.026,-0.012,1,-0.02
2019-10-30,2019-10-24,C,1910W5,282.5,KR4209052825,코스피위클리 C 1910W5 282.5,0.01,0.05,0.07,0.01,14.6,24214,132357500,7214,2019-10-31,1,277.49,277.49,274.95,275.51,13.85,1.25,275.0,7.5,0.01,0.011,0.009,-0.021,0.006,1,0.01,C,1910W5,285.0,KR4209052858,코스피위클리 C 1910W5 285.0,0.01,0.01,0.01,0.01,19.3,2590,6475000,6854,2019-10-31,1,277.49,277.49,274.95,275.51,13.85,1.25,275.0,10.0,0.01,-0.018,-0.012,0.048,-0.01,1,-0.02
2019-10-31,2019-10-24,C,1910W5,282.5,KR4209052825,코스피위클리 C 1910W5 282.5,0.01,0.01,0.01,0.01,18.4,15968,39920000,0,2019-10-31,0,276.84,279.04,275.82,275.82,13.59,1.25,275.0,7.5,0.0,0.0,0.0,0.0,0.0,1,0.0,C,1910W5,285.0,KR4209052858,코스피위클리 C 1910W5 285.0,0.01,0.01,0.01,0.01,20.3,79,197500,0,2019-10-31,0,276.84,279.04,275.82,275.82,13.59,1.25,275.0,10.0,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2019-10-31,2019-10-31,C,1911W1,280.0,KR4209062808,코스피위클리 C 1911W1 280.0,0.53,0.99,1.48,0.48,11.7,1622,373705000,697,2019-11-07,7,276.84,279.04,275.82,275.82,13.59,1.25,275.0,5.0,0.53,0.199,0.058,-0.083,0.114,1,0.53,C,1911W1,282.5,KR4209062824,코스피위클리 C 1911W1 282.5,0.17,0.39,0.65,0.16,11.3,2026,200017500,838,2019-11-07,7,276.84,279.04,275.82,275.82,13.59,1.25,275.0,7.5,0.17,-0.16,-0.064,0.086,-0.122,1,-0.34
2019-11-01,2019-10-31,C,1911W1,280.0,KR4209062808,코스피위클리 C 1911W1 280.0,1.05,0.49,1.05,0.41,10.9,17417,2911727500,1770,2019-11-07,6,276.17,278.55,275.59,278.43,13.22,1.25,277.5,2.5,1.04,0.364,0.089,-0.113,0.145,1,1.04,C,1911W1,282.5,KR4209062824,코스피위클리 C 1911W1 282.5,0.4,0.16,0.4,0.13,11.0,17753,1041260000,3008,2019-11-07,6,276.17,278.55,275.59,278.43,13.22,1.25,277.5,5.0,0.4,-0.352,-0.122,0.156,-0.2,1,-0.8
2019-11-04,2019-10-31,C,1911W1,280.0,KR4209062808,코스피위클리 C 1911W1 280.0,3.31,1.6,3.31,1.6,14.5,2907,1873607500,1468,2019-11-07,3,279.9,282.77,279.9,282.54,13.32,1.25,282.5,-2.5,3.29,0.73,0.077,-0.177,0.098,1,3.29,C,1911W1,282.5,KR4209062824,코스피위클리 C 1911W1 282.5,1.58,0.65,1.6,0.65,13.0,15210,4609640000,2349,2019-11-07,3,279.9,282.77,279.9,282.54,13.32,1.25,282.5,0.0,1.57,-1.022,-0.208,0.384,-0.236,1,-3.14
2019-11-05,2019-10-31,C,1911W1,280.0,KR4209062808,코스피위클리 C 1911W1 280.0,4.3,3.31,4.6,2.97,3.0,725,640497500,1426,2019-11-07,2,282.99,284.46,282.27,284.38,13.42,1.25,285.0,-5.0,4.41,1.0,0.0,0.0,0.0,1,4.41,C,1911W1,282.5,KR4209062824,코스피위클리 C 1911W1 282.5,2.16,1.64,2.49,1.32,8.8,4362,1956092500,1904,2019-11-07,2,282.99,284.46,282.27,284.38,13.42,1.25,285.0,-2.5,2.16,-1.604,-0.246,0.21,-0.144,1,-4.32
2019-11-06,2019-10-31,C,1911W1,280.0,KR4209062808,코스피위클리 C 1911W1 280.0,4.55,4.3,6.25,4.03,8.0,349,436577500,1351,2019-11-07,1,284.31,286.43,283.7,284.52,13.89,1.25,285.0,-5.0,4.54,0.997,0.006,-0.004,0.002,1,4.54,C,1911W1,282.5,KR4209062824,코스피위클리 C 1911W1 282.5,2.26,2.2,3.86,1.91,10.5,1892,1233902500,1772,2019-11-07,1,284.31,286.43,283.7,284.52,13.89,1.25,285.0,-2.5,2.25,-1.648,-0.234,0.286,-0.11,1,-4.5
2019-11-07,2019-10-31,C,1911W1,280.0,KR4209062808,코스피위클리 C 1911W1 280.0,4.24,4.0,4.9,3.15,28.0,645,632407500,0,2019-11-07,0,284.04,284.82,283.05,284.37,13.78,1.25,285.0,-5.0,4.3700000000000045,1.0,0.0,0.0,0.0,1,4.3700000000000045,C,1911W1,282.5,KR4209062824,코스피위클리 C 1911W1 282.5,1.65,1.74,2.49,1.11,8.5,12091,5030422500,0,2019-11-07,0,284.04,284.82,283.05,284.37,13.78,1.25,285.0,-2.5,1.8700000000000045,-2.0,-0.0,-0.0,-0.0,1,-3.740000000000009
2019-11-14,2019-11-14,C,1911W3,287.5,KR4209072872,코스피위클리 C 1911W3 287.5,0.58,0.4,0.64,0.28,10.7,3338,371120000,655,2019-11-21,7,281.9,283.93,281.1,283.93,13.42,1.25,285.0,2.5,0.57,0.223,0.066,-0.084,0.125,1,0.57,C,1911W3,290.0,KR4209072906,코스피위클리 C 1911W3 290.0,0.24,0.15,0.24,0.1,11.3,2464,99170000,1231,2019-11-21,7,281.9,283.93,281.1,283.93,13.42,1.25,285.0,5.0,0.24,-0.216,-0.078,0.11,-0.156,1,-0.48
2019-11-15,2019-11-14,C,1911W3,287.5,KR4209072872,코스피위클리 C 1911W3 287.5,1.9,0.67,2.09,0.49,12.3,11514,3737050000,1418,2019-11-21,6,283.85,287.72,283.3,287.29,13.11,1.25,287.5,0.0,1.88,0.492,0.082,-0.139,0.159,1,1.88,C,1911W3,290.0,KR4209072906,코스피위클리 C 1911W3 290.0,0.83,0.25,0.98,0.17,11.6,27061,4113895000,1711,2019-11-21,6,283.85,287.72,283.3,287.29,13.11,1.25,287.5,2.5,0.82,-0.574,-0.148,0.224,-0.272,1,-1.64
2019-11-18,2019-11-14,C,1911W3,287.5,KR4209072872,코스피위클리 C 1911W3 287.5,1.45,1.93,1.93,1.05,13.1,7092,2291617500,1732,2019-11-21,3,287.1,287.78,285.94,287.18,13.34,1.25,287.5,0.0,1.44,0.474,0.101,-0.196,0.12,1,1.44,C,1911W3,290.0,KR4209072906,코스피위클리 C 1911W3 290.0,0.53,0.83,0.83,0.36,12.8,29977,3798460000,2945,2019-11-21,3,287.1,287.78,285.94,287.18,13.34,1.25,287.5,2.5,0.53,-0.476,-0.16,0.298,-0.186,1,-1.06
2019-11-19,2019-11-14,C,1911W3,287.5,KR4209072872,코스피위클리 C 1911W3 287.5,0.65,0.76,0.97,0.29,11.3,46704,6598805000,3096,2019-11-21,2,285.74,286.34,283.73,286.23,13.52,1.25,285.0,2.5,0.66,0.338,0.125,-0.179,0.095,1,0.66,C,1911W3,290.0,KR4209072906,코스피위클리 C 1911W3 290.0,0.14,0.21,0.33,0.06,11.3,58308,2037725000,5602,2019-11-21,2,285.74,286.34,283.73,286.23,13.52,1.25,285.0,5.0,0.14,-0.206,-0.122,0.176,-0.094,1,-0.28
2019-11-20,2019-11-14,C,1911W3,287.5,KR4209072872,코스피위클리 C 1911W3 287.5,0.01,0.24,0.37,0.01,11.2,81824,2254650000,9040,2019-11-21,1,284.27,285.29,282.0,282.21,14.11,1.25,282.5,5.0,0.01,0.013,0.014,-0.02,0.007,1,0.01,C,1911W3,290.0,KR4209072906,코스피위클리 C 1911W3 290.0,0.01,0.03,0.05,0.01,15.6,49178,297500000,12270,2019-11-21,1,284.27,285.29,282.0,282.21,14.11,1.25,282.5,7.5,0.01,-0.018,-0.016,0.042,-0.01,1,-0.02
2019-11-21,2019-11-14,C,1911W3,287.5,KR4209072872,코스피위클리 C 1911W3 287.5,0.01,0.01,0.01,0.01,28.2,3812,9530000,0,2019-11-21,0,281.89,282.33,276.98,278.28,14.52,1.25,277.5,10.0,0.0,0.0,0.0,0.0,0.0,1,0.0,C,1911W3,290.0,KR4209072906,코스피위클리 C 1911W3 290.0,0.01,0.01,0.01,0.01,33.9,836,2090000,0,2019-11-21,0,281.89,282.33,276.98,278.28,14.52,1.25,277.5,12.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2019-11-21,2019-11-21,C,1911W4,282.5,KR4209082822,코스피위클리 C 1911W4 282.5,0.63,1.64,1.64,0.53,12.5,1811,305515000,750,2019-11-28,7,281.89,282.33,276.98,278.28,14.52,1.25,277.5,5.0,0.63,0.215,0.057,-0.094,0.12,1,0.63,C,1911W4,285.0,KR4209082855,코스피위클리 C 1911W4 285.0,0.25,0.96,0.98,0.21,12.6,2382,201920000,803,2019-11-28,7,281.89,282.33,276.98,278.28,14.52,1.25,277.5,7.5,0.26,-0.21,-0.07,0.118,-0.15,1,-0.52
2019-11-22,2019-11-21,C,1911W4,282.5,KR4209082822,코스피위클리 C 1911W4 282.5,0.84,0.65,0.95,0.59,12.8,12778,2453725000,1370,2019-11-28,6,278.57,279.89,278.14,279.43,13.88,1.25,280.0,2.5,0.84,0.276,0.068,-0.118,0.129,1,0.84,C,1911W4,285.0,KR4209082855,코스피위클리 C 1911W4 285.0,0.34,0.25,0.39,0.22,12.7,21101,1592820000,2909,2019-11-28,6,278.57,279.89,278.14,279.43,13.88,1.25,280.0,5.0,0.33,-0.272,-0.088,0.152,-0.168,1,-0.66
2019-11-25,2019-11-21,C,1911W4,282.5,KR4209082822,코스피위클리 C 1911W4 282.5,1.68,1.16,2.32,1.01,15.3,10626,4902982500,1556,2019-11-28,3,281.77,283.53,281.48,282.19,13.91,1.25,282.5,0.0,1.67,0.479,0.088,-0.225,0.118,1,1.67,C,1911W4,285.0,KR4209082855,코스피위클리 C 1911W4 285.0,0.67,0.48,1.07,0.48,14.4,28831,5884395000,2530,2019-11-28,3,281.77,283.53,281.48,282.19,13.91,1.25,282.5,2.5,0.67,-0.522,-0.152,0.346,-0.192,1,-1.34
2019-11-26,2019-11-21,C,1911W4,282.5,KR4209082822,코스피위클리 C 1911W4 282.5,1.66,1.8,3.05,1.34,19.3,4412,2277635000,1289,2019-11-28,2,283.09,284.87,281.77,281.83,14.21,1.25,282.5,0.0,1.67,0.452,0.08,-0.325,0.101,1,1.67,C,1911W4,285.0,KR4209082855,코스피위클리 C 1911W4 285.0,0.58,0.75,1.41,0.45,16.8,40183,9131252500,3253,2019-11-28,2,283.09,284.87,281.77,281.83,14.21,1.25,282.5,2.5,0.59,-0.472,-0.144,0.44,-0.158,1,-1.18
2019-11-27,2019-11-21,C,1911W4,282.5,KR4209082822,코스피위클리 C 1911W4 282.5,1.18,2.0,2.48,0.8,11.9,15406,5228825000,2253,2019-11-28,1,283.56,284.02,281.27,282.85,13.85,1.25,282.5,0.0,1.19,0.561,0.158,-0.246,0.083,1,1.19,C,1911W4,285.0,KR4209082855,코스피위클리 C 1911W4 285.0,0.26,0.76,0.98,0.2,11.6,71345,7033162500,5311,2019-11-28,1,283.56,284.02,281.27,282.85,13.85,1.25,282.5,2.5,0.26,-0.384,-0.226,0.332,-0.114,1,-0.52
