,ratio,ratio_int
0,-12.287973294151282,0.0
1,-52.2543697410136,0.0
2,-68.22639476475237,-9.2884012539185
3,-67.92375939151168,-9.2884012539185
4,-68.28146182463023,-17.280632411067778
5,-71.77012585437801,-15.209176788124312
6,-49.91274026590224,-19.939662439115793
7,-64.94692623941287,-21.084388185653957
8,-47.05891027946493,-21.622963959984858
9,-76.50867065294163,-24.87113857016771
10,-55.04138502077574,-38.66060143301921
11,-70.49726506229129,-26.161038961039033
12,-53.75163345626165,-28.448041856588652
13,-58.79678167750498,-30.535935005480198
14,-73.33236167246031,-30.95565217391301
15,-71.77473855028342,-40.550847457627064
16,-73.22283455668715,-40.218005295675006
17,-72.8435028930932,-41.28982898289821
18,-73.5707783393524,-41.22131147540993
19,-72.58211952941753,-30.049427679500432
20,-75.93608719645691,-37.913043478260754
21,-76.18418026278948,-34.49031855090566
22,-75.72869252238999,-31.235778736759467
23,-75.54975489955204,-28.093484419263383
24,-75.09537695888235,-28.85310734463277
25,-73.10117653988137,-37.31214689265541
26,-76.24086395276113,-39.125304729400256
27,-70.41859088986325,-32.24575066165012
28,-73.05441350373722,-40.4961970620796
29,-71.30314212826619,-38.296799534683934
30,-73.90829053132556,-41.17114253411684
31,-72.10754063299986,-39.81237115701668
32,-76.49297135291927,-40.28464277637117
33,-62.47947734480671,-30.320939395089
34,-73.52832620051788,-38.1167610274133
35,-74.57293055396897,-39.20980842564462
36,-77.17892423973541,-43.81016689615848
37,-67.73734191086866,-45.21190042443312
38,-72.14699894268179,-38.21494857544835
39,-67.05352567545403,-38.505360604998096
40,-64.91778221511005,-32.820557837045236
41,-51.06384400851814,-49.09642327107042
42,-43.261480476804465,-40.38816535703306
43,-50.65940394315127,-43.01384393878377
44,-74.08876870727805,-46.312706962431236
45,-66.14299302726724,-50.79072108489325
46,-77.12943483015322,-49.27340250490999
47,-69.02834185075892,-42.62052363387382
48,-77.12045769839281,-57.59402566603594
49,-70.75669837703532,-46.736557002969796
50,-76.6261483766135,-56.659185630814335
51,-75.49783048917998,-60.053952949945206
52,-74.10707233785423,-54.013578742766065
53,-67.93106436151584,-50.741671346958235
54,-68.14778037056998,-55.24424430501688
55,-72.92176477363986,-59.52457800314604
56,-73.14723135927927,-46.96545547603135
