,n,win,totalret,maxret,mdd
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.25",38.0,19.0,-13.129999999999944,10.40000000000001,-26.719999999999953
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.5",38.0,20.0,-18.433967368055665,3.5899999999999994,-25.213967368055673
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.5_-1",38.0,20.0,-28.23396736805568,3.5899999999999994,-35.013967368055674
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.5_-2",38.0,20.0,-41.27999999999996,3.5899999999999994,-48.05999999999995
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.8_-0.25",38.0,19.0,-6.319999999999945,16.31000000000001,-26.369999999999955
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.8_-0.5",38.0,20.0,-11.623967368055661,6.9860326319442905,-22.349999999999955
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.8_-1",38.0,20.0,-21.423967368055674,6.78603263194429,-31.949999999999974
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.8_-2",38.0,20.0,-34.46999999999996,4.51,-42.71999999999995
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.25_-0.25",38.0,21.0,-12.109999999999955,8.68,-23.979999999999954
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.25_-0.5",38.0,22.0,-17.413967368055673,2.16,-22.763967368055678
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.25_-1",38.0,22.0,-28.19396736805569,2.16,-33.54396736805569
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.25_-2",38.0,22.0,-41.23999999999998,2.16,-46.589999999999975
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.25",38.0,19.0,-13.129999999999944,10.40000000000001,-26.719999999999953
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-0.5",38.0,20.0,-18.433967368055665,3.5899999999999994,-25.213967368055673
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-1",38.0,20.0,-28.23396736805568,3.5899999999999994,-35.013967368055674
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.5_-2",38.0,20.0,-41.27999999999996,3.5899999999999994,-48.05999999999995
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-0.25",38.0,19.0,-6.319999999999945,16.31000000000001,-26.369999999999955
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-0.5",38.0,20.0,-11.623967368055661,6.9860326319442905,-22.349999999999955
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-1",38.0,20.0,-21.423967368055674,6.78603263194429,-31.949999999999974
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit3_0.8_-2",38.0,20.0,-34.46999999999996,4.51,-42.71999999999995
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-0.25",38.0,21.0,-12.109999999999955,8.68,-23.979999999999954
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-0.5",38.0,22.0,-17.413967368055673,2.16,-22.763967368055678
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-1",38.0,22.0,-28.19396736805569,2.16,-33.54396736805569
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.25_-2",38.0,22.0,-41.23999999999998,2.16,-46.589999999999975
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.5_-0.25",38.0,19.0,-13.129999999999944,10.40000000000001,-26.719999999999953
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.5_-0.5",38.0,20.0,-18.433967368055665,3.5899999999999994,-25.213967368055673
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.5_-1",38.0,20.0,-28.23396736805568,3.5899999999999994,-35.013967368055674
"put_entry5_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit4_0.5_-2",38.0,20.0,-41.27999999999996,3.5899999999999994,-48.05999999999995
