,n,win,totalret,maxret,mdd
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit3_0.8_-0.25",77.0,44.0,-12.873586710624025,2.69,-17.233586710624014
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit3_0.8_-0.5",77.0,47.0,-23.953586710624034,2.69,-28.31358671062402
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit3_0.8_-1",77.0,51.0,-44.88358671062407,1.38,-47.93358671062407
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit3_0.8_-2",77.0,54.0,-43.51358671062407,3.36,-49.523586710624045
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.25_-0.25",77.0,47.0,-14.253586710624006,1.8499999999999996,-17.973586710624005
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.25_-0.5",77.0,51.0,-23.543586710624016,1.8499999999999996,-27.26358671062401
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.25_-1",77.0,54.0,-43.95358671062404,0.5400000000000003,-46.36358671062405
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.25_-2",77.0,58.0,-39.45358671062402,2.03,-44.19358671062403
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.5_-0.25",77.0,45.0,-14.933586710624022,2.0799999999999996,-18.683586710624006
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.5_-0.5",77.0,49.0,-23.623586710624025,2.0799999999999996,-27.373586710624004
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.5_-1",77.0,53.0,-43.073586710624056,0.7700000000000002,-45.513586710624054
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.5_-2",77.0,56.0,-41.70358671062405,2.75,-46.96358671062403
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.8_-0.25",77.0,44.0,-12.873586710624025,2.69,-17.233586710624014
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.8_-0.5",77.0,47.0,-23.953586710624034,2.69,-28.31358671062402
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.8_-1",77.0,51.0,-44.88358671062407,1.38,-47.93358671062407
"put_entry8_{'P': [('delta', -0.2, -1)]}_[2, 9]_put_exit4_0.8_-2",77.0,54.0,-43.51358671062407,3.36,-49.523586710624045
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.25_-0.25",10.0,7.0,0.24999999999997924,5.12,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.25_-0.5",10.0,7.0,0.24999999999997924,5.12,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.25_-1",10.0,8.0,3.8699999999999792,6.649999999999979,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.25_-2",10.0,8.0,3.8699999999999792,6.649999999999979,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.5_-0.25",10.0,7.0,2.729999999999979,6.71,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.5_-0.5",10.0,7.0,2.729999999999979,6.71,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.5_-1",10.0,8.0,8.559999999999977,10.449999999999978,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.5_-2",10.0,8.0,8.559999999999977,10.449999999999978,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.8_-0.25",10.0,7.0,3.529999999999979,6.71,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.8_-0.5",10.0,7.0,3.529999999999979,6.71,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.8_-1",10.0,8.0,9.359999999999978,11.249999999999979,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit1_0.8_-2",10.0,8.0,9.359999999999978,11.249999999999979,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.25_-0.25",10.0,7.0,0.24999999999997924,5.12,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.25_-0.5",10.0,7.0,0.24999999999997924,5.12,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.25_-1",10.0,8.0,3.8699999999999792,6.649999999999979,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.25_-2",10.0,8.0,3.8699999999999792,6.649999999999979,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.25",10.0,7.0,2.729999999999979,6.71,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.5",10.0,7.0,2.729999999999979,6.71,-7.680000000000021
"put_entry9_{'P': [('delta', -0.4, -1)]}_[2, 9]_put_exit2_0.5_-1",10.0,8.0,8.559999999999977,10.449999999999978,-7.680000000000021
