,n,win,totalret,maxret,mdd
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.25",179.0,57.0,-43.28894476524122,26.68999999999997,-69.97894476524117
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.5",179.0,78.0,-45.44459841850585,36.60999999999996,-82.0545984185058
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.5_-0.1",179.0,34.0,-33.0289447652412,16.12999999999997,-49.15894476524119
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.5_-0.25",179.0,47.0,-37.298944765241146,31.629999999999953,-68.92894476524111
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.5_-0.5",179.0,66.0,-41.584598418505834,42.159999999999954,-83.74459841850577
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_1_-0.1",179.0,27.0,-30.99894476524114,23.700000000000017,-54.69894476524115
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_1_-0.25",179.0,40.0,-29.868944765241068,41.00000000000002,-70.86894476524108
"strangle_entry7_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_1_-0.5",179.0,59.0,-34.48459841850571,41.609999999999985,-76.09459841850567
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.1_-0.1",179.0,52.0,-60.2093691825524,9.179715998008177,-69.38908518056058
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.1_-0.25",179.0,80.0,-47.71936918255242,35.06971599800815,-82.78908518056055
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.1_-0.5",179.0,93.0,-59.58409169493166,36.3797159980081,-95.96380769293972
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.25_-0.1",179.0,44.0,-56.76936918255242,11.209715998008159,-67.97908518056057
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.25_-0.25",179.0,70.0,-42.20936918255235,40.42971599800816,-82.63908518056047
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.25_-0.5",179.0,83.0,-54.06409169493158,41.289715998008106,-95.35380769293965
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.5_-0.1",179.0,38.0,-30.379369182552377,26.019715998008166,-56.39908518056055
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.5_-0.25",179.0,64.0,-15.049369182552265,45.08971599800821,-60.13908518056047
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.5_-0.5",179.0,77.0,-26.971946898695453,40.059715998008144,-67.03166289670364
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_1_-0.1",179.0,34.0,-24.80936918255231,30.57971599800824,-55.38908518056054
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_1_-0.25",179.0,60.0,-9.479369182552196,53.0997159980083,-62.57908518056048
"strangle_entry7_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_1_-0.5",179.0,73.0,-21.40194689869541,45.12971599800818,-66.53166289670358
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.1_-0.1",81.0,16.0,-3.9965128141821884,0.0,-5.996321597322569
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.1_-0.25",81.0,16.0,-5.326512814182188,0.0,-7.32632159732257
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.1_-0.5",81.0,18.0,-3.65651281418216,0.0,-5.656321597322542
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.25_-0.1",81.0,14.0,-4.366512814182188,0.0,-6.366321597322568
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.25_-0.25",81.0,14.0,-5.696512814182189,0.0,-7.696321597322571
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.25_-0.5",81.0,16.0,-4.026512814182161,0.0,-6.026321597322542
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.5_-0.1",81.0,10.0,-13.768769902196244,0.0,-13.768769902196244
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.5_-0.25",81.0,10.0,-15.098769902196244,0.0,-15.098769902196244
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.5_-0.5",81.0,12.0,-13.428769902196215,0.0,-13.428769902196215
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_1_-0.1",81.0,7.0,-15.73876990219624,0.0,-15.73876990219624
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_1_-0.25",81.0,7.0,-17.068769902196244,0.0,-17.068769902196244
"strangle_entry8_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_1_-0.5",81.0,8.0,-15.788769902196213,0.0,-15.788769902196211
"strangle_entry8_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.1_-0.1",81.0,19.0,-17.060474972690436,0.0,-17.060474972690436
