,n,win,totalret,maxret,mdd
"strangle_entry9_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.5_-0.5",148.0,28.0,-35.85047497269042,9.039999999999973,-44.89047497269039
"strangle_entry9_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.1",148.0,14.0,-37.31047497269043,5.079999999999979,-42.390474972690406
"strangle_entry9_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.25",148.0,15.0,-40.20047497269043,4.109999999999978,-44.310474972690415
"strangle_entry9_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.5",148.0,21.0,-38.62047497269043,11.289999999999958,-49.91047497269037
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.1",148.0,37.0,-42.2709535228504,0.0,-42.2709535228504
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.25",148.0,41.0,-43.400953522850415,6.330000000000006,-49.73095352285041
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.5",148.0,60.0,-39.63095352285042,4.98000000000002,-44.61095352285046
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.1",148.0,30.0,-46.68095352285039,0.0,-46.680953522850395
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.25",148.0,35.0,-47.420953522850425,3.450000000000003,-50.87095352285042
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.5",148.0,52.0,-37.4109535228504,2.1000000000000147,-39.51095352285043
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.5_-0.1",148.0,23.0,-47.54095352285039,2.9999999999999734,-50.54095352285035
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.5_-0.25",148.0,28.0,-44.20095352285044,11.81,-56.01095352285044
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.5_-0.5",148.0,42.0,-41.61095352285041,9.560000000000013,-51.170953522850425
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_1_-0.1",148.0,14.0,-49.37095352285036,1.2799999999999727,-50.65095352285034
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_1_-0.25",148.0,20.0,-40.11095352285041,14.269999999999987,-54.380953522850405
"strangle_entry9_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_1_-0.5",148.0,34.0,-39.76095352285036,9.8,-49.560953522850355
"strangle_entry9_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.1_-0.1",148.0,43.0,-28.188944765241192,12.14999999999997,-40.338944765241166
"strangle_entry9_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.1_-0.25",148.0,58.0,-21.808944765241172,18.65999999999998,-40.46894476524115
"strangle_entry9_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.1_-0.5",148.0,72.0,-40.86459841850581,13.439999999999872,-54.30459841850568
"strangle_entry9_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.1",148.0,35.0,-36.038944765241226,7.8299999999999645,-43.868944765241196
"strangle_entry9_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.25",148.0,50.0,-27.788944765241187,14.339999999999971,-42.12894476524116
"strangle_entry9_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.5",148.0,65.0,-31.424598418505756,18.85999999999995,-50.28459841850571
