,n,win,totalret,maxret,mdd
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.25",99.0,43.0,17.411922316128674,20.47727981802953,-15.969999999999999
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.25_-0.5",99.0,52.0,8.103725723226782,23.749999999999943,-30.620000000000037
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.5_-0.1",99.0,27.0,46.10192231612871,48.87727981802954,-13.44
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.5_-0.25",99.0,33.0,29.57192231612867,32.63727981802953,-27.63999999999999
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_0.5_-0.5",99.0,43.0,22.423725723226767,32.60727981802949,-29.180000000000017
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_1_-0.1",99.0,24.0,60.15701238795509,62.93236988985591,-7.940000000000001
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_1_-0.25",99.0,30.0,42.067012387955025,45.132369889855845,-21.32999999999999
"strangle_entry2_{'C': [('number', 2.5, 1)], 'P': [('number', -2.5, 1)]}_[2, 9]_exit1_1_-0.5",99.0,39.0,27.618815795053102,37.80236988985583,-30.500000000000032
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.1_-0.1",99.0,43.0,25.36276690190373,25.36276690190373,-13.610000000000001
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.1_-0.25",99.0,51.0,3.3164818569462975,17.977746452563743,-26.950000000000003
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.1_-0.5",99.0,60.0,-1.305662939289668,17.167746452563797,-33.38999999999999
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.25_-0.1",99.0,36.0,51.71276690190373,51.71276690190374,-11.479999999999992
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.25_-0.25",99.0,46.0,50.02648185694627,50.02648185694627,-20.76000000000002
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.25_-0.5",99.0,53.0,37.35648185694629,37.35648185694634,-26.930000000000042
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.5_-0.1",99.0,30.0,56.31276690190373,56.312766901903764,-10.989999999999997
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.5_-0.25",99.0,39.0,48.49648185694624,48.496481856946254,-22.760000000000055
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_0.5_-0.5",99.0,46.0,37.086481856946264,38.45774645256375,-29.270000000000035
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_1_-0.1",99.0,23.0,55.828010961686836,61.49824541340794,-11.559999999999992
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_1_-0.25",99.0,33.0,56.26864923974213,68.15774645256373,-27.060000000000038
"strangle_entry2_{'C': [('number', 0, 1)], 'P': [('number', 0, 1)]}_[2, 9]_exit1_1_-0.5",99.0,40.0,43.14864923974217,60.25774645256375,-33.46000000000009
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.1_-0.1",153.0,52.0,13.155680527472551,13.155680527472553,-7.769999999999998
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.1_-0.25",153.0,59.0,14.575680527472564,14.575680527472565,-16.26
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.1_-0.5",153.0,73.0,11.47568052747257,16.330000000000016,-23.19
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.25_-0.1",153.0,46.0,12.685680527472554,12.685680527472554,-10.19
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.25_-0.25",153.0,52.0,13.435680527472563,13.43568052747257,-18.759999999999998
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.25_-0.5",153.0,65.0,9.075680527472555,15.730000000000016,-26.62000000000001
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.5_-0.1",153.0,38.0,11.325680527472551,11.325680527472555,-12.810000000000002
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.5_-0.25",153.0,43.0,11.865680527472568,12.460000000000015,-20.97
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_0.5_-0.5",153.0,52.0,1.2756805274725704,15.780000000000017,-34.47000000000001
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_1_-0.1",153.0,31.0,38.49568052747258,38.49568052747258,-12.02
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_1_-0.25",153.0,35.0,39.22568052747259,39.22568052747259,-17.389999999999997
"strangle_entry3_{'C': [('number', 10, 1)], 'P': [('number', -10, 1)]}_[2, 9]_exit1_1_-0.5",153.0,45.0,35.735680527472574,35.735680527472574,-26.269999999999996
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.1_-0.1",153.0,56.0,20.81312892192721,20.81312892192721,-13.200000000000003
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.1_-0.25",153.0,66.0,12.77312892192721,12.773128921927203,-21.270000000000003
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.1_-0.5",153.0,78.0,12.173128921927226,12.173128921927223,-25.609999999999985
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.25_-0.1",153.0,50.0,22.092602830477187,22.092602830477187,-17.29
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.25_-0.25",153.0,58.0,12.64260283047718,12.642602830477177,-25.08000000000001
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.25_-0.5",153.0,71.0,12.962602830477223,12.962602830477223,-28.409999999999954
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.5_-0.1",153.0,39.0,29.842602830477187,29.842602830477183,-19.970000000000006
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.5_-0.25",153.0,46.0,24.582602830477192,24.5826028304772,-27.97
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_0.5_-0.5",153.0,59.0,29.592602830477233,29.592602830477233,-34.229999999999954
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.1",153.0,31.0,56.95260283047723,56.95260283047723,-22.570000000000004
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.25",153.0,37.0,51.482602830477234,51.48260283047725,-30.479999999999986
"strangle_entry3_{'C': [('number', 7.5, 1)], 'P': [('number', -7.5, 1)]}_[2, 9]_exit1_1_-0.5",153.0,50.0,64.73260283047726,64.7326028304773,-34.58999999999993
"strangle_entry3_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.1",153.0,54.0,6.858822420323197,7.519999999999998,-20.379999999999995
"strangle_entry3_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.25",153.0,69.0,3.4088224203232107,9.2,-25.139999999999986
"strangle_entry3_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.1_-0.5",153.0,84.0,-9.761177579676815,10.549999999999969,-42.29999999999998
"strangle_entry3_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.1",153.0,46.0,13.028615953365366,13.028615953365362,-22.789999999999992
"strangle_entry3_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.25",153.0,60.0,11.858615953365403,11.858615953365401,-23.27999999999995
"strangle_entry3_{'C': [('number', 5, 1)], 'P': [('number', -5, 1)]}_[2, 9]_exit1_0.25_-0.5",153.0,75.0,11.928615953365371,17.049999999999958,-33.389999999999944
