,n,win,totalret,maxret,mdd
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_2_-0.8",68.0,6.0,-20.53000000000001,3.37,-23.900000000000013
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_4_-0.25",68.0,5.0,-8.380000000000011,3.6999999999999993,-15.600000000000017
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_4_-0.5",68.0,6.0,-10.930000000000028,3.5699999999999994,-17.70000000000003
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_4_-0.8",68.0,6.0,-14.950000000000006,3.37,-20.410000000000014
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_999_-0.25",68.0,5.0,-5.080000000000013,6.999999999999999,-15.60000000000002
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_999_-0.5",68.0,6.0,-7.630000000000026,6.869999999999999,-17.70000000000003
"entry2_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_999_-0.8",68.0,6.0,-11.650000000000002,6.67,-20.41000000000001
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.25_-0.25",43.0,10.0,-31.360000000000035,5.68,-37.42000000000004
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.25_-0.5",43.0,11.0,-37.18000000000005,5.68,-43.240000000000045
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.25_-0.8",43.0,11.0,-47.05000000000005,5.68,-52.73000000000004
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.5_-0.25",43.0,9.0,-31.470000000000056,6.5,-37.970000000000056
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.5_-0.5",43.0,9.0,-40.38000000000007,6.5,-46.88000000000006
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_0.5_-0.8",43.0,9.0,-50.25000000000006,6.5,-56.750000000000064
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_1_-0.25",43.0,6.0,-40.91000000000006,2.58,-43.490000000000045
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_1_-0.5",43.0,6.0,-49.82000000000007,2.58,-52.400000000000055
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_1_-0.8",43.0,6.0,-60.640000000000065,1.63,-62.27000000000007
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_2_-0.25",43.0,4.0,-54.88000000000005,2.58,-57.46000000000006
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_2_-0.5",43.0,4.0,-63.79000000000006,2.58,-66.37000000000006
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_2_-0.8",43.0,4.0,-76.96000000000005,1.63,-78.59000000000003
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_4_-0.25",43.0,4.0,-43.82000000000003,2.58,-46.40000000000001
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_4_-0.5",43.0,4.0,-52.73000000000004,2.58,-55.31000000000004
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_4_-0.8",43.0,4.0,-65.90000000000005,1.63,-67.53000000000003
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_999_-0.25",43.0,4.0,-43.82000000000003,2.58,-46.40000000000001
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_999_-0.5",43.0,4.0,-52.73000000000004,2.58,-55.31000000000004
"entry3_{'P': [('delta', -0.4, 1)]}_[2, 9]_exit1_999_-0.8",43.0,4.0,-65.90000000000005,1.63,-67.53000000000003
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_0.25_-0.25",43.0,7.0,-18.92,2.6300000000000003,-21.549999999999997
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_0.25_-0.5",43.0,8.0,-21.520000000000014,2.35,-23.870000000000015
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_0.25_-0.8",43.0,8.0,-26.590000000000018,2.35,-28.940000000000015
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_0.5_-0.25",43.0,6.0,-19.640000000000004,1.7200000000000002,-21.359999999999996
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_0.5_-0.5",43.0,7.0,-22.240000000000013,1.4400000000000002,-23.680000000000014
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_0.5_-0.8",43.0,7.0,-27.650000000000016,1.1,-28.750000000000014
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_1_-0.25",43.0,4.0,-22.620000000000015,1.7200000000000002,-24.34000000000001
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_1_-0.5",43.0,5.0,-25.50000000000003,1.4400000000000002,-26.940000000000033
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_1_-0.8",43.0,5.0,-31.880000000000035,1.1,-32.98000000000003
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_2_-0.25",43.0,2.0,-29.520000000000017,1.7200000000000002,-31.24000000000001
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_2_-0.5",43.0,3.0,-32.400000000000034,1.4400000000000002,-33.840000000000025
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_2_-0.8",43.0,3.0,-39.07000000000003,1.1,-40.17000000000002
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_4_-0.25",43.0,2.0,-19.62999999999999,1.7200000000000002,-21.34999999999999
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_4_-0.5",43.0,3.0,-22.510000000000005,1.4400000000000002,-23.950000000000006
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_4_-0.8",43.0,3.0,-29.180000000000017,1.1,-30.280000000000015
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_999_-0.25",43.0,2.0,-19.62999999999999,1.7200000000000002,-21.34999999999999
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_999_-0.5",43.0,3.0,-22.510000000000005,1.4400000000000002,-23.950000000000006
"entry3_{'P': [('delta', -0.2, 1)]}_[2, 9]_exit1_999_-0.8",43.0,3.0,-29.180000000000017,1.1,-30.280000000000015
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.25_-0.25",43.0,13.0,-5.03,3.06,-9.03
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.25_-0.5",43.0,14.0,-5.120000000000003,3.06,-9.58
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.25_-0.8",43.0,14.0,-8.580000000000004,3.06,-12.059999999999999
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.5_-0.25",43.0,9.0,-10.43,3.06,-13.490000000000004
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.5_-0.5",43.0,10.0,-11.340000000000002,3.06,-14.400000000000004
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_0.5_-0.8",43.0,10.0,-14.800000000000004,3.06,-17.859999999999996
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_1_-0.25",43.0,7.0,-8.51000000000002,1.77,-10.280000000000019
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_1_-0.5",43.0,7.0,-11.970000000000018,1.77,-13.74000000000002
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_1_-0.8",43.0,7.0,-15.750000000000021,1.45,-17.200000000000017
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_2_-0.25",43.0,4.0,-16.950000000000017,1.77,-18.720000000000013
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_2_-0.5",43.0,4.0,-20.410000000000014,1.77,-22.180000000000017
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_2_-0.8",43.0,4.0,-25.300000000000015,1.45,-26.750000000000018
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_4_-0.25",43.0,4.0,-14.960000000000019,1.77,-16.730000000000015
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_4_-0.5",43.0,4.0,-18.420000000000016,1.77,-20.190000000000015
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_4_-0.8",43.0,4.0,-23.310000000000016,1.45,-24.760000000000016
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_999_-0.25",43.0,4.0,-14.960000000000019,1.77,-16.730000000000015
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_999_-0.5",43.0,4.0,-18.420000000000016,1.77,-20.190000000000015
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[2, 9]_exit1_999_-0.8",43.0,4.0,-23.310000000000016,1.45,-24.760000000000016
"entry3_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.25_-0.25",43.0,10.0,-6.000000000000002,1.06,-7.100000000000001
"entry3_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[2, 9]_exit1_0.25_-0.5",43.0,12.0,-6.580000000000003,1.06,-8.050000000000002
