,n,win,totalret,maxret,mdd
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-0.25",14.0,5.0,1.2800000000000007,1.5000000000000007,-1.3900000000000001
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-0.5",14.0,5.0,1.2800000000000007,1.5000000000000007,-1.3900000000000001
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-1",14.0,5.0,1.2100000000000004,1.4300000000000008,-1.39
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-2",14.0,5.0,1.2100000000000004,1.4300000000000008,-1.39
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-3",14.0,5.0,1.2100000000000004,1.4300000000000008,-1.39
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-0.25",14.0,4.0,-6.590000000000025,0.6300000000000006,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-0.5",14.0,4.0,-6.590000000000025,0.6300000000000006,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-1",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-2",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-3",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-0.25",14.0,4.0,-6.590000000000025,0.6300000000000006,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-0.5",14.0,4.0,-6.590000000000025,0.6300000000000006,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-1",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-2",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-3",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-0.25",14.0,4.0,-6.590000000000025,0.6300000000000006,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-0.5",14.0,4.0,-6.590000000000025,0.6300000000000006,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-1",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-2",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-3",14.0,4.0,-6.660000000000025,0.5600000000000007,-7.870000000000026
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-0.25",14.0,5.0,-1.0800000000000003,0.0,-2.0100000000000002
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-0.5",14.0,5.0,-1.1200000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-1",14.0,5.0,-1.1200000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-2",14.0,5.0,-1.1200000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-3",14.0,5.0,-1.1200000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-0.25",14.0,5.0,-0.9200000000000003,0.0,-2.0100000000000002
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-0.5",14.0,5.0,-0.9600000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-1",14.0,5.0,-0.9600000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-2",14.0,5.0,-0.9600000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-3",14.0,5.0,-0.9600000000000003,0.0,-2.0500000000000003
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_1_-0.25",14.0,5.0,-0.31000000000000016,0.0,-2.0100000000000002
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_1_-0.5",14.0,5.0,-0.3500000000000002,0.0,-2.0500000000000003
