,n,win,totalret,maxret,mdd
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-0.25",43.0,16.0,-6.590000000000024,0.6599999999999998,-14.56000000000004
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-0.5",43.0,16.0,-7.790000000000023,0.6599999999999998,-15.45000000000004
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-1",43.0,17.0,-8.700000000000022,0.5099999999999998,-17.050000000000033
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-2",43.0,18.0,-7.110000000000023,0.5099999999999998,-15.460000000000035
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-3",43.0,18.0,-7.110000000000023,0.5099999999999998,-15.460000000000035
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-0.25",43.0,16.0,-6.590000000000024,0.6599999999999998,-14.56000000000004
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-0.5",43.0,16.0,-7.790000000000023,0.6599999999999998,-15.45000000000004
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-1",43.0,17.0,-8.700000000000022,0.5099999999999998,-17.050000000000033
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-2",43.0,18.0,-7.110000000000023,0.5099999999999998,-15.460000000000035
"entry3_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-3",43.0,18.0,-7.110000000000023,0.5099999999999998,-15.460000000000035
"entry3_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-0.25",43.0,23.0,6.62,6.96,-1.2599999999999998
