,n,win,totalret,maxret,mdd
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.25",43.0,19.0,-0.7100000000000043,4.58,-16.17
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.5",43.0,19.0,-1.6100000000000039,4.58,-16.17
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-1",43.0,20.0,-8.140000000000011,4.58,-30.440000000000005
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-2",43.0,20.0,-7.650000000000008,5.07,-30.440000000000005
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.25",43.0,19.0,0.009999999999995901,4.49,-16.86
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.5",43.0,19.0,-0.8900000000000045,4.49,-16.86
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-1",43.0,20.0,-7.420000000000008,4.49,-30.200000000000003
"entry3_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-2",43.0,20.0,-6.930000000000006,4.9799999999999995,-30.200000000000006
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.25",43.0,23.0,-5.360000000000002,1.8599999999999999,-12.12
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.5",43.0,23.0,-12.170000000000003,1.8599999999999999,-18.93
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-1",43.0,25.0,-9.510000000000003,1.8599999999999999,-19.659999999999997
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-2",43.0,26.0,-9.190000000000003,1.8599999999999999,-20.459999999999997
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.25",43.0,23.0,-3.830000000000004,1.8599999999999999,-11.129999999999997
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.5",43.0,23.0,-10.640000000000004,1.8599999999999999,-17.94
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-1",43.0,25.0,-7.98,1.8599999999999999,-18.67
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-2",43.0,26.0,-7.66,1.8599999999999999,-19.470000000000002
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.25",43.0,22.0,-1.46,1.3,-10.6
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.5",43.0,22.0,-8.270000000000008,1.3,-17.410000000000004
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-1",43.0,24.0,-5.210000000000003,1.7000000000000002,-18.14
"entry3_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-2",43.0,25.0,-4.890000000000002,1.7000000000000002,-18.939999999999998
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.25",43.0,20.0,-2.625431179114583,1.0945688208854185,-7.4
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.5",43.0,21.0,-1.6554311791145817,1.0945688208854185,-7.4
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-1",43.0,21.0,-6.745431179114582,1.0945688208854185,-12.750000000000005
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-2",43.0,21.0,-6.745431179114582,1.0945688208854185,-12.750000000000005
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-0.25",43.0,19.0,-2.215431179114583,0.24999999999999994,-7.0854311791145825
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-0.5",43.0,20.0,-1.2454311791145827,0.24999999999999994,-7.0854311791145825
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-1",43.0,20.0,-6.3354311791145825,0.24999999999999994,-12.435431179114584
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-2",43.0,20.0,-6.245431179114583,0.24999999999999994,-12.345431179114584
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-0.25",43.0,17.0,-3.8730115074713645,0.24999999999999994,-8.763011507471363
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-0.5",43.0,18.0,-2.9030115074713634,0.24999999999999994,-8.763011507471363
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-1",43.0,18.0,-7.993011507471369,0.24999999999999994,-14.113011507471363
"entry3_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-2",43.0,18.0,-11.714767552699591,0.24999999999999994,-17.834767552699585
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-0.25",43.0,21.0,-3.0413241612714006,0.39999999999999997,-6.572790897359459
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-0.5",43.0,21.0,-3.1213241612714007,0.39999999999999997,-6.572790897359459
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-1",43.0,22.0,-5.0513241612714,0.39999999999999997,-8.852790897359458
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-2",43.0,22.0,-6.1113241612714,0.39999999999999997,-9.912790897359457
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-0.25",43.0,21.0,-0.871324161271399,0.39999999999999997,-6.1827908973594585
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-0.5",43.0,21.0,-0.9513241612713991,0.39999999999999997,-6.1827908973594585
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-1",43.0,22.0,-2.881324161271401,0.39999999999999997,-8.462790897359458
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-2",43.0,22.0,-3.9413241612713996,0.39999999999999997,-9.522790897359458
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-0.25",43.0,20.0,-0.7413241612714007,0.15000000000000002,-6.262790897359459
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-0.5",43.0,20.0,-0.8213241612714007,0.15000000000000002,-6.262790897359459
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-1",43.0,21.0,-2.7513241612713983,0.15000000000000002,-8.542790897359458
"entry3_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-2",43.0,21.0,-3.591324161271401,0.17999999999999997,-9.412790897359459
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-0.25",29.0,12.0,-8.070000000000006,4.93,-18.430000000000003
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-0.5",29.0,12.0,-8.070000000000006,4.93,-18.430000000000003
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-1",29.0,13.0,-5.100000000000006,4.93,-23.2
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.25_-2",29.0,13.0,-5.100000000000006,4.93,-23.2
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.25",29.0,11.0,-6.650000000000002,3.2,-17.95
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-0.5",29.0,11.0,-6.650000000000002,3.2,-17.95
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-1",29.0,12.0,-3.6800000000000024,3.2,-22.72
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.5_-2",29.0,12.0,-3.190000000000004,3.69,-22.720000000000002
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.25",29.0,11.0,-7.680000000000003,3.2,-18.64
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-0.5",29.0,11.0,-7.680000000000003,3.2,-18.64
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-1",29.0,12.0,-4.7100000000000035,3.2,-22.48
"entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_exit1_0.8_-2",29.0,12.0,-4.220000000000005,3.69,-22.480000000000004
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.25",29.0,14.0,-8.340000000000002,1.28,-12.66
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-0.5",29.0,14.0,-8.340000000000002,1.28,-12.66
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-1",29.0,16.0,-5.5900000000000025,1.28,-13.3
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.25_-2",29.0,17.0,-5.270000000000002,1.28,-14.1
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.25",29.0,14.0,-7.250000000000002,1.28,-11.84
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-0.5",29.0,14.0,-7.250000000000002,1.28,-11.84
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-1",29.0,16.0,-4.500000000000004,1.28,-12.48
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.5_-2",29.0,17.0,-4.180000000000002,1.28,-13.28
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.25",29.0,13.0,-5.750000000000002,0.55,-11.31
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-0.5",29.0,13.0,-5.750000000000002,0.55,-11.31
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-1",29.0,15.0,-2.6000000000000036,0.9500000000000002,-11.95
"entry4_{'C': [('delta', 0.2, -1)]}_[2, 9]_exit1_0.8_-2",29.0,16.0,-2.2800000000000016,0.9500000000000002,-12.75
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.25",29.0,12.0,-4.295431179114584,0.7645688208854187,-7.54
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-0.5",29.0,13.0,-2.6654311791145826,0.7645688208854187,-7.54
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-1",29.0,13.0,-5.495431179114584,0.7645688208854187,-10.630000000000003
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.25_-2",29.0,13.0,-5.495431179114584,0.7645688208854187,-10.630000000000003
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-0.25",29.0,11.0,-4.3754311791145835,0.24999999999999994,-7.855431179114582
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-0.5",29.0,12.0,-2.7454311791145822,0.24999999999999994,-7.855431179114582
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-1",29.0,12.0,-5.575431179114583,0.24999999999999994,-10.945431179114582
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.5_-2",29.0,12.0,-5.485431179114583,0.24999999999999994,-10.855431179114582
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-0.25",29.0,9.0,-6.773011507471364,0.24999999999999994,-9.543011507471364
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-0.5",29.0,10.0,-5.143011507471363,0.24999999999999994,-9.543011507471364
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-1",29.0,10.0,-7.973011507471364,0.24999999999999994,-12.633011507471366
"entry4_{'C': [('delta', 0.3, -1), ('delta', 0.15, 1)]}_[2, 9]_exit1_0.8_-2",29.0,10.0,-11.694767552699592,0.24999999999999994,-16.354767552699585
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-0.25",29.0,13.0,-4.421324161271399,0.15000000000000002,-6.972790897359458
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-0.5",29.0,13.0,-4.421324161271399,0.15000000000000002,-6.972790897359458
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-1",29.0,14.0,-5.0613241612714,0.15000000000000002,-7.962790897359458
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.25_-2",29.0,14.0,-6.1213241612713984,0.15000000000000002,-9.022790897359458
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-0.25",29.0,13.0,-2.561324161271398,0.15000000000000002,-6.702790897359458
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-0.5",29.0,13.0,-2.561324161271398,0.15000000000000002,-6.702790897359458
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-1",29.0,14.0,-3.2013241612713985,0.15000000000000002,-7.692790897359458
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.5_-2",29.0,14.0,-4.261324161271399,0.15000000000000002,-8.752790897359459
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-0.25",29.0,12.0,-2.9113241612713985,0.15000000000000002,-7.1027908973594585
"entry4_{'C': [('delta', 0.2, -1), ('delta', 0.1, 1)]}_[2, 9]_exit1_0.8_-0.5",29.0,12.0,-2.9113241612713985,0.15000000000000002,-7.1027908973594585
