,n,win,totalret,maxret,mdd
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-0.25",68.0,26.0,1.6300000000000003,5.270000000000003,-5.2700000000000005
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-0.5",68.0,27.0,0.26999999999999924,5.050000000000001,-5.840000000000001
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-1",68.0,29.0,-2.380000000000001,4.950000000000001,-9.700000000000003
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-2",68.0,31.0,1.0699999999999987,9.47,-10.770000000000003
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_1_-3",68.0,31.0,0.43999999999999895,9.47,-11.400000000000002
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_2_-0.25",68.0,25.0,-0.08999999999999864,4.250000000000003,-5.97
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_2_-0.5",68.0,26.0,-1.4499999999999997,4.030000000000001,-6.540000000000001
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_2_-1",68.0,28.0,-4.099999999999998,3.5100000000000002,-9.98
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_2_-2",68.0,30.0,-0.650000000000001,7.82,-10.840000000000002
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_2_-3",68.0,30.0,-1.2800000000000011,7.82,-11.47
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_4_-0.25",68.0,25.0,2.23,6.570000000000003,-5.970000000000001
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_4_-0.5",68.0,26.0,0.8700000000000006,6.350000000000002,-6.540000000000001
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_4_-1",68.0,28.0,-1.7800000000000002,5.83,-9.980000000000002
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_4_-2",68.0,30.0,1.6699999999999964,10.14,-10.840000000000003
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_4_-3",68.0,30.0,1.0399999999999967,10.14,-11.470000000000002
"entry2_{'P': [('delta', -0.4, -1), ('delta', -0.2, 2)]}_[2, 9]_exit1_999_-0.25",68.0,25.0,2.23,6.570000000000003,-5.970000000000001
