,n,win,totalret,maxret,mdd
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-0.25",14.0,3.0,-17.999999999999996,2.13,-20.129999999999992
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-0.5",14.0,5.0,-12.75,3.77,-18.68
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-1",14.0,5.0,-17.339999999999986,3.77,-23.269999999999982
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.25_-2",14.0,5.0,-19.759999999999987,3.77,-25.68999999999998
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.25",14.0,3.0,-17.999999999999996,2.13,-20.129999999999992
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-0.5",14.0,5.0,-12.75,3.77,-18.68
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-1",14.0,5.0,-17.339999999999986,3.77,-23.269999999999982
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.5_-2",14.0,5.0,-19.759999999999987,3.77,-25.68999999999998
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-0.25",14.0,3.0,-17.649999999999995,2.48,-20.129999999999992
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-0.5",14.0,5.0,-12.09,4.12,-18.68
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-1",14.0,5.0,-16.679999999999986,4.12,-23.269999999999985
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit2_0.8_-2",14.0,5.0,-19.099999999999984,4.12,-25.689999999999984
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.25_-0.25",14.0,3.0,-17.999999999999996,2.13,-20.129999999999992
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.25_-0.5",14.0,5.0,-12.75,3.77,-18.68
"call_entry4_{'C': [('delta', 0.4, -1)]}_[2, 9]_put_exit3_0.25_-1",14.0,5.0,-14.869999999999985,3.77,-20.799999999999983
